nct,title,phase,enrollment,interventions,sponsor,start,completion,results_posted,results_retrievable,linked_pmids,retrieval_attempted,retrieval_date,comp_year,months_since_completion,reporting_status
NCT01862926,Rituximab Versus Cyclophosphamide in Connective Tissue Disease-ILD,PHASE2|PHASE3,104.0,Rituximab; Cyclophosphamide,Royal Brompton & Harefield NHS Foundation Trust,2014-11,2021-01,no,publication likely (post-completion linked record; primary outcome unverified),36375479(2023),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2021,69.0,beyond 12-month reporting window
NCT03979430,Early Detection of Acute Exacerbation in Patients With Idiopathic Lung Fibrosis - a Pilot Study,,47.0,Home spirometry,Heidelberg University,2018-09-07,2020-12-31,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,68.0,beyond 12-month reporting window
NCT02478268,Using MRI to Visualize Regional Therapy Response in Idiopathic Pulmonary Fibrosis,PHASE1,64.0,Hyperpolarized 129-Xenon gas; MRI,Bastiaan Driehuys,2015-05,2020-09-26,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,71.0,beyond 12-month reporting window
NCT02745184,Clinical Efficacy and Safety of Autologous Lung Stem Cell Transplantation in Patients With Idiopathic Pulmonary Fibrosis,PHASE1|PHASE2,10.0,Lung stem cells,Shanghai East Hospital,2017-03-30,2020-08-31,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,72.0,beyond 12-month reporting window
NCT03499275,Muscle Stimulation in Advanced Idiopathic Pulmonary Fibrosis,,23.0,Active NMES; Sham NMES; Home exercise programme; Breathlessness advice,Royal Brompton & Harefield NHS Foundation Trust,2018-10-15,2020-08-15,no,publication likely (post-completion linked record; primary outcome unverified),34083348(2021),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,73.0,beyond 12-month reporting window
NCT02594059,Assessment of Peripheral Endothelial Function in Idiopathic Pulmonary Fibrosis,,43.0,endothelial function,Hopital Foch,2012-12-19,2020-07-15,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,74.0,beyond 12-month reporting window
NCT02929017,Integrating Palliative Care for Patients With Idiopathic Pulmonary Fibrosis and Their Caregivers,,140.0,SUPPORT; Currently Available Printed Material,University of Pittsburgh,2017-03-23,2020-06-24,no,publication likely (post-completion linked record; primary outcome unverified),34003726(2021),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,74.0,beyond 12-month reporting window
NCT03979703,Yoga in Patients With Fibrosing Interstitial Lung Diseases,,17.0,12 week yoga class,Heidelberg University,2018-12-01,2020-05-31,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,75.0,beyond 12-month reporting window
NCT03650075,To Determine Safety and Tolerability of MG-S-2525 and to Evaluate Its PK Profile in Healthy Volunteers,PHASE1,81.0,MG-S-2525,Metagone Biotech Inc.,2019-02-25,2020-02-27,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,78.0,beyond 12-month reporting window
NCT03078426,Lung MRI in the Management of Idiopathic Pulmonary Fibrosis,,60.0,MRI; Thoracic HRCT (standard reference),"University Hospital, Bordeaux",2017-02-16,2020-02-14,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2020,79.0,beyond 12-month reporting window
NCT03830125,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of BBT-877 in Healthy Subjects",PHASE1,88.0,"BBT-877, Single dose; Placebo group; BBT-877, Multiple doses","Bridge Biotherapeutics, Inc.",2019-02-13,2019-11-24,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,81.0,beyond 12-month reporting window
NCT03619616,"Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Single Ascending Dose of ZSP1603 in Healthy Adults",PHASE1,40.0,ZSP1603 7.5 mg; ZSP1603 12.5 mg; Placebo 12.5mg; ZSP1603 25 mg; Placebo 25mg; ZSP1603 50 mg; Placebo 50mg,"Guangdong Zhongsheng Pharmaceutical Co., Ltd.",2018-07-16,2019-10-22,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,82.0,beyond 12-month reporting window
NCT03420235,Home Monitoring in Idiopathic Pulmonary Fibrosis; Improving Use of Anti-fibrotic Medication and Quality of Life,,90.0,Home monitoring program,Erasmus Medical Center,2018-01-09,2019-08-26,no,publication likely (post-completion linked record; primary outcome unverified),32325005(2020); 32703201(2020),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,84.0,beyond 12-month reporting window
NCT02173145,Azithromycin in Idiopathic Pulmonary Fibrosis,,27.0,azithromycin; placebo,"Insel Gruppe AG, University Hospital Bern",2014-08-19,2019-08-16,no,publication likely (post-completion linked record; primary outcome unverified),34015241(2021),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,85.0,beyond 12-month reporting window
NCT03981094,A Study of the Pharmacokinetic Interaction Between Pirfenidone and BMS-986278 in Healthy Participants,PHASE1,22.0,BMS-986278; Pirfenidone,Bristol-Myers Squibb,2019-05-10,2019-07-30,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,85.0,beyond 12-month reporting window
NCT02460588,Cyclophosphamide for Acute Exacerbation of Idiopathic Pulmonary Fibrosis,PHASE3,120.0,Cyclophosphamide; Placebo; Corticosteroid (prednisolone),Assistance Publique - Hôpitaux de Paris,2015-12,2019-07,no,publication likely (post-completion linked record; primary outcome unverified),34506761(2022); 30971235(2019),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,93.0,beyond 12-month reporting window
NCT02874989,Targeting Pro-Inflammatory Cells in Idiopathic Pulmonary Fibrosis: a Human Trial,PHASE1,26.0,Dasatinib + Quercetin; Placebo,Wake Forest University Health Sciences,2016-12-16,2019-06-03,no,publication likely (post-completion linked record; primary outcome unverified),30616998(2019),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,87.0,beyond 12-month reporting window
NCT03688334,Acute Effects of Oxygen Supplementation Among IPF Patients,,15.0,Oxygen 40 %; Medical air (sham O2),George Papanicolaou Hospital,2018-06-01,2019-06-01,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,87.0,beyond 12-month reporting window
NCT03502902,"The Safety, Tolerability and Pharmacokinetic Study of HEC68498 in Healthy Male and Female Subjects",PHASE1,55.0,HEC 68498; Placebo,"Sunshine Lake Pharma Co., Ltd.",2018-04-26,2019-03-15,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,90.0,beyond 12-month reporting window
NCT03981406,Palliative Care and Quality of Life in Idiopathic Pulmonary Fibrosis,,22.0,Palliative Care; Standard of Care,University of Minnesota,2017-09-15,2019-03-01,no,publication likely (post-completion linked record; primary outcome unverified),31900187(2020),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,90.0,beyond 12-month reporting window
NCT03092102,"The Safety, Tolerability and Pharmacokinetic Study of HEC585 in Healthy Male and Female Subjects",PHASE1,136.0,HEC585,"Sunshine Lake Pharma Co., Ltd.",2017-05-20,2019-02-25,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,90.0,beyond 12-month reporting window
NCT03411876,Effects of Oxymizer Pendant Cannula Versus Conventional Nasal Cannula During Endurance Shuttle Walk Tests in Hypoxemic P,,22.0,Oxymizer® pendant nasal cannula; conventional nasal cannula,Klaus Kenn,2018-01-18,2019-01-15,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2019,92.0,beyond 12-month reporting window
NCT03268915,Idiopathic Pulmonary Fibrosis (IPF) and the 3 Minutes Sit-to-stand Test,,35.0,3 minutes sit-to-stand test,"University Hospital, Grenoble",2017-02-09,2018-12-09,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2018,93.0,beyond 12-month reporting window
NCT00563212,A Pilot Study of Aerosol Interferon-gamma for Treatment of Idiopathic Pulmonary Fibrosis,PHASE1,12.0,aerosol interferon-gamma,NYU Langone Health,2007-01,2018-12-01,no,publication likely (post-completion linked record; primary outcome unverified),35667792(2022),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2018,93.0,beyond 12-month reporting window
NCT02739165,Clinical Study of ART-123 for the Treatment of Acute Exacerbation of Idiopathic Pulmonary Fibrosis,PHASE3,74.0,ART-123; Placebo,Asahi Kasei Therapeutics Corporation,2016-05,2018-12,no,publication likely (post-completion linked record; primary outcome unverified),31917621(2020),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2018,105.0,beyond 12-month reporting window
NCT01919827,Study of Autologous Mesenchymal Stem Cells to Treat Idiopathic Pulmonary Fibrosis,PHASE1,17.0,Endobronchial infusion of adult mesenchymal stem cells; Autologous mesenchymal stem cells derived from bone marrow,"Clinica Universidad de Navarra, Universidad de Navarra",2013-03,2018-05-01,no,publication likely (post-completion linked record; primary outcome unverified),34195252(2021),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2018,100.0,beyond 12-month reporting window
NCT02600689,Home-Based Pulmonary Rehab for Patients With Pulmonary Fibrosis,,20.0,Physical exercise training; Cognitive exercise training,University of Alabama at Birmingham,2015-08,2018-03-16,no,publication likely (post-completion linked record; primary outcome unverified),31241519(2019),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2018,102.0,beyond 12-month reporting window
NCT03050255,Short-term Effects of Supplemental Oxygen in Patients With IPF,,53.0,Medical air; Oxygen (2Liter/min); Oxygen (4Liter/min),Schön Klinik Berchtesgadener Land,2016-11,2018-03,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2018,105.0,beyond 12-month reporting window
NCT02594839,Safety and Efficacy of Allogeneic Mesenchymal Stem Cells in Patients With Rapidly Progressive Interstitial Lung Disease,PHASE1|PHASE2,20.0,Bone marrow mesenchymal stem cells; Placebo,Federal Research Clinical Center of Federal Medical & Biolog,2013-02,2018-01,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2018,105.0,beyond 12-month reporting window
NCT01624753,Fibered Confocal Fluorescence Microscopy Imaging in Patients With Diffuse Parenchymal Lung Diseases,,27.0,confocal microscopy,Singapore General Hospital,2012-05,2017-11,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2017,117.0,beyond 12-month reporting window
NCT02267655,3 Part Study to Assess Inhaled Nitric Oxide on Functional Pulmonary Imaging in Subj. Pulmonary Hypertension Associated w,PHASE1,8.0,"inhaled Nitric Oxide - 30 mcg/kg IBW/hr; inhaled Nitric Oxide 5,10,15 mcg/Kg IBW/hr; inhaled nitric oxide 75 mcg/kg IBW/",Bellerophon,2015-05,2017-06-28,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2017,110.0,beyond 12-month reporting window
NCT01262001,"Safety, Tolerability, and Efficacy Study of Idiopathic Pulmonary Fibrosis",PHASE2,90.0,FG-3019; FG-3019,Kyntra Bio,2011-03,2017-06-21,no,publication likely (post-completion linked record; primary outcome unverified),40355288(2025),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2017,110.0,beyond 12-month reporting window
NCT02055456,Nandrolone Decanoate in the Treatment of Telomeropathies,PHASE1|PHASE2,20.0,Nandrolone Decanoate,University of Sao Paulo,2014-02-01,2017-02-01,no,publication likely (post-completion linked record; primary outcome unverified),36579443(2023),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2017,115.0,beyond 12-month reporting window
NCT02538536,A Phase 2 Study to Evaluate the Safety and Tolerability of PBI-4050 in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,41.0,PBI4050,Liminal BioSciences Ltd.,2015-07,2017-01,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2017,117.0,beyond 12-month reporting window
NCT02648048,A Study of Oral Vismodegib in Combination With Pirfenidone in Participants With Idiopathic Pulmonary Fibrosis,PHASE1,21.0,Pirfenidone; Vismodegib,Hoffmann-La Roche,2016-01-15,2016-11-30,no,publication likely (post-completion linked record; primary outcome unverified),32026407(2019),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,117.0,beyond 12-month reporting window
NCT01772667,Long Term Effects of an Inpatient Pulmonary Rehabilitation Program in Patients With Pulmonary Fibrosis,,51.0,Inpatient Rehabilitation,Schön Klinik Berchtesgadener Land,2013-10,2016-10,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,129.0,beyond 12-month reporting window
NCT02085018,Pilot Trial Of Omeprazole in Idiopathic Pulmonary Fibrosis (IPF),PHASE2,45.0,Omeprazole; Matched placebo,Newcastle-upon-Tyne Hospitals NHS Trust,2014-03-28,2016-09-27,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,119.0,beyond 12-month reporting window
NCT01265888,Study in Subjects With PAH and PH Secondary to IPF Using Inhaled GeNOsyl.,PHASE2,31.0,Inhaled Nitric Oxide; Inhaled Nitric Oxide; Inhaled Nitric Oxide,Geno LLC,2011-03,2016-09,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,129.0,beyond 12-month reporting window
NCT01725139,A Proof of Mechanism Study With GSK2126458 in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE1,17.0,GSK2126458; Placebo,GlaxoSmithKline,2013-03-08,2016-07-12,no,publication likely (post-completion linked record; primary outcome unverified),27103349(2016),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,122.0,beyond 12-month reporting window
NCT02058602,Inhalation Profiling of Idiopathic Pulmonary Fibrosis (IPF) Patients,PHASE1,25.0,Assessment of Idiopathic Pulmonary Fibrosis over a period of up to 6 months,GlaxoSmithKline,2013-12-03,2016-07-11,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,122.0,beyond 12-month reporting window
NCT02612051,First Time in Human (FTIH) Study of GSK3008348 in Healthy Volunteers and Idiopathic Pulmonary Fibrosis Patients,PHASE1,40.0,GSK3008348 Nebuliser solution; Placebo Nebuliser solution; GSK26346763: ([18F]-FBA-A20FMDV2) IV infusion,GlaxoSmithKline,2015-12-04,2016-06-02,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,123.0,beyond 12-month reporting window
NCT01462006,Double-blind Placebo-controlled Pilot Study of Sirolimus in Idiopathic Pulmonary Fibrosis (IPF),,32.0,sirolimus; Placebo,University of Virginia,2011-10,2016-03,no,publication likely (post-completion linked record; primary outcome unverified),36853800(2023),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,129.0,beyond 12-month reporting window
NCT02412020,Treatment of Refractory Chronic Cough With PA101,PHASE2,52.0,PA101; Placebo,Patara Pharma,2015-02,2016-02,no,publication likely (post-completion linked record; primary outcome unverified),28923239(2017),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2016,129.0,beyond 12-month reporting window
NCT02248064,Auto-titrating Oxygen in Chronic Respiratory Failure,,26.0,Auto-titrating oxygen system,Imperial College London,2014-07,2015-11,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2015,141.0,beyond 12-month reporting window
NCT02268981,Effects of an Oxymizer® During Daytime in Patients With Pulmonary Fibrosis (IPF),,18.0,Oxymizer® compared to CNC; Oxymizer® compared to CNC; Oxymizer® compared to CNC,Schön Klinik Berchtesgadener Land,2014-09,2015-09,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2015,141.0,beyond 12-month reporting window
NCT01817686,Study of Default Options in Advance Directives,,62.0,Comfort Default AD forms; Life Extension Default AD forms; Standard Default AD forms,Corporal Michael J. Crescenz VA Medical Center,2013-03,2015-06,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2015,141.0,beyond 12-month reporting window
NCT02048644,Effect of Fostair® on Biomarkers of Platelet Adhesion in Idiopathic Pulmonary Fibrosis,PHASE2,20.0,fostair; placebo,Hull University Teaching Hospitals NHS Trust,2014-03,2015-05,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2015,141.0,beyond 12-month reporting window
NCT01789996,The Six Minute Walk Test: Influence of Instruction on Results,,45.0,alternative six minute walk test; Standard six minute walk test,Inova Health Care Services,2010-06,2014-12,no,"no results found (only pre-completion linked record, e.g. design/protocol)",23975232(2013),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2014,153.0,beyond 12-month reporting window
NCT01457261,IPF Drug Deposition Study,PHASE1,10.0,Salbutamol,Royal Brompton & Harefield NHS Foundation Trust,2012-04,2014-11,no,publication likely (post-completion linked record; primary outcome unverified),29409488(2018),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2014,153.0,beyond 12-month reporting window
NCT02136992,Clinical Efficacy and Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis,PHASE2,160.0,Pirfenidone; placebo,"Shanghai Pulmonary Hospital, Shanghai, China",2011-12,2013-12,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2013,165.0,beyond 12-month reporting window
NCT01529853,To Evaluate the Effect of Different Doses of SAR156597 Given to Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE1|PHASE2,24.0,SAR156597; Placebo (for SAR156597),Sanofi,2012-01,2013-10,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2013,165.0,beyond 12-month reporting window
NCT01362231,A Study to Evaluate the Safety and Efficacy of GS-6624 (Formerly AB0024) in Patients With Idiopathic Pulmonary Fibrosis,PHASE1,48.0,GS-6624,Gilead Sciences,2010-12,2012-12,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2012,177.0,beyond 12-month reporting window
NCT01199887,Trial Of IW001 in Patients With Idiopathic Pulmonary Fibrosis,PHASE1,30.0,IW001,ImmuneWorks,2010-09,2012-10,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2012,177.0,beyond 12-month reporting window
NCT00463983,Treatment of Idiopathic Pulmonary Fibrosis With Long Acting Octreotide,PHASE1|PHASE2,25.0,octreotide,"Institut National de la Santé Et de la Recherche Médicale, F",2006-10,2012-01,no,publication likely (post-completion linked record; primary outcome unverified),22379151(2012),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2012,177.0,beyond 12-month reporting window
NCT00786201,A Study to Evaluate the Safety and Effectiveness of CNTO 888 Administered Intravenously (IV) in Participants With Idiopa,PHASE2,126.0,Placebo; CNTO 888 1 mg/kg; CNTO 888 5 mg/kg; CNTO 888 15 mg/kg,"Centocor, Inc.",2008-12,2012-01,no,publication likely (post-completion linked record; primary outcome unverified),26493793(2015),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2012,177.0,beyond 12-month reporting window
NCT01637831,CPAP Therapy in Patients With Idiopathic Pulmonary Fibrosis and Sleep Apnea,,12.0,Continuous Positive Airway Pressure (CPAP),University of Crete,2010-03,2011-09,no,publication likely (post-completion linked record; primary outcome unverified),33108270(2021); 23386371(2013),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2011,189.0,beyond 12-month reporting window
NCT00071461,Efficacy and Safety of Oral Bosentan in Patients With Idiopathic Pulmonary Fibrosis,PHASE2|PHASE3,158.0,bosentan; Placebo,Actelion,2003-08,2010-05,no,publication likely (post-completion linked record; primary outcome unverified),19679600(2010),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2010,201.0,beyond 12-month reporting window
NCT00692796,Pulmonary Rehabilitation for Idiopathic Pulmonary Fibrosis,,60.0,Pulmonary rehabilitation,National Jewish Health,2008-04,2010-03,no,publication likely (post-completion linked record; primary outcome unverified),21333082(2011),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2010,201.0,beyond 12-month reporting window
NCT00532233,"SD, IL-13 Production Rate in IPF",PHASE2,52.0,QAX576,Novartis Pharmaceuticals,2007-09,2009-06,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2009,213.0,beyond 12-month reporting window
NCT00125385,Study of GC1008 in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE1,25.0,GC1008; GC1008; GC1008; GC1008; GC1008,"Genzyme, a Sanofi Company",2005-07,2008-09,no,publication likely (post-completion linked record; primary outcome unverified),33463535(2021),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2008,225.0,beyond 12-month reporting window
NCT00131274,Gleevec Idiopathic Pulmonary Fibrosis (IPF) Study,PHASE2|PHASE3,120.0,Imatinib Mesylate (Gleevec),"Daniels, Craig E., M.D.",2003-04,2007-08,no,publication likely (post-completion linked record; primary outcome unverified),20007927(2010),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2007,237.0,beyond 12-month reporting window
NCT00162760,Treatment of Idiopathic Pulmonary Fibrosis With Thalidomide,PHASE2,19.0,Thalidomide,Johns Hopkins University,2003-10,2007-07,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2007,237.0,beyond 12-month reporting window
NCT00352482,Sildenafil to Increase Exercise Capacity in Individuals With Idiopathic Pulmonary Fibrosis and Pulmonary Hypertension,PHASE2,20.0,Sildenafil (50 mg),"National Heart, Lung, and Blood Institute (NHLBI)",2004-11,2007-07,no,publication likely (post-completion linked record; primary outcome unverified),17356110(2007),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2007,237.0,beyond 12-month reporting window
NCT00262405,Zileuton for the Treatment of Idiopathic Pulmonary Fibrosis,PHASE2,44.0,zileuton; azathioprine/prednisone,University of Michigan,2001-01,2007-05,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2007,237.0,beyond 12-month reporting window
NCT00109681,Inhaled Iloprost in Adults With Abnormal Pulmonary Pressure and Associated With Idiopathic Pulmonary Fibrosis,PHASE2,50.0,Iloprost Inhalation Solution (Ventavis),Actelion,2005-04,2006-10,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2006,249.0,beyond 12-month reporting window
NCT00189176,Safety Study of Tetrathiomolybdate in Patients With Idiopathic Pulmonary Fibrosis,PHASE1|PHASE2,23.0,Tetrathiomolybdate,University of Michigan,2003-03,2006-05,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2006,249.0,beyond 12-month reporting window
NCT00070590,Efficacy and Safety of Oral Bosentan in Pulmonary Fibrosis Associated With Scleroderma,PHASE2|PHASE3,132.0,Bosentan,Actelion,2003-07,2005-09,no,publication likely (post-completion linked record; primary outcome unverified),33765691(2021); 20506355(2010),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2005,261.0,beyond 12-month reporting window
NCT00063869,Study Evaluating the Safety and Efficacy of Etanercept in Patients With Idiopathic Pulmonary Fibrosis,PHASE2,88.0,Etanercept,Wyeth is now a wholly owned subsidiary of Pfizer,,2005-03,no,publication likely (post-completion linked record; primary outcome unverified),18669816(2008),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2005,261.0,beyond 12-month reporting window
NCT00052052,An Open-Label Study of the Safety and Efficacy of Subcutaneous Recombinant Interferon-Gamma 1b (IFN-Gamma 1b) in Patient,PHASE2,210.0,interferon-gamma 1b,InterMune,2002-09,2004-09,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2004,273.0,beyond 12-month reporting window
NCT00074698,Safety and Tolerability Study of FG-3019 in Participants With Idiopathic Pulmonary Fibrosis,PHASE1,21.0,FG-3019,Kyntra Bio,2003-12-08,2004-05,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2004,273.0,beyond 12-month reporting window
NCT00639496,Study of the Effects of High-dose N-acetylcysteine (NAC) in Idiopathic Pulmonary Fibrosis (IPF),PHASE3,184.0,n-acetylcysteine; placebo,Zambon SpA,2000-03,2003-07,no,publication likely (post-completion linked record; primary outcome unverified),19860915(2009),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2003,285.0,beyond 12-month reporting window
NCT00047658,A Study of the Safety and Clinical Effects of Interferon Gamma-1b in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,32.0,Interferon-gamma 1b,InterMune,2001-11,2003-05,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2003,285.0,beyond 12-month reporting window
NCT00047645,A Study of the Safety and Efficacy Interferon-Gamma 1b in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE3,330.0,Interferon-gamma 1b,InterMune,2000-04,2002-12,no,publication likely (post-completion linked record; primary outcome unverified),38238788(2024); 28657784(2017),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2002,297.0,beyond 12-month reporting window
