intervention,inclusion_tier,registry_trials,max_phase,statuses,trials_with_posted_results,category,traditional,abandoned_reason,termination_reasons,verdict_class,verdict_sublabel,evidence_tier,evidence_tier_sublabel,n_human_studies,n_mono_randomised,strongest_design,key_result_pmid,key_result_verbatim,metric,duration_weeks,comparator_arm_change,endpoint_dimension,indirect_only,conflict_present,conflict_note,safety,pooled_context_pmids,combination_evidence_pmids,why,curated,curation_note,duplicate_of,registry_only_result
anlotinib,I3,1,PHASE2,ACTIVE_NOT_RECRUITING,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
artesuante,I3,1,PHASE1,RECRUITING,0,other,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
atezolizumab,I2,1,PHASE1,ACTIVE_NOT_RECRUITING,0,biologic,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,1,0,non_randomised_trial,35759340.0,"The 1-year survival rate was 53.3% (95% CI, 25.9-74.6).",1-year survival rate,,,1-year survival rate,True,False,,Early termination due to high incidence of severe pneumonitis; pneumonitis occurred in 29.4% (all grades) and 23.5% (grade ≥3).,,,"1 human studies attributed; strongest non_randomised_trial; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
auto-titrating oxygen therapy,I3,1,NA/none,COMPLETED,0,device_or_procedure,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
autoantibody reductive therapy,I3,1,PHASE2,COMPLETED,1,other,False,not_applicable,,Uncertain,"open-label randomised trial reporting a large six-month survival difference in acute exacerbations; no statistical analysis, no baseline severity data and no results publication available",Uncertain,"one open-label randomised trial, registry-posted only, plus uncontrolled pilot data",4,0,open-label randomised,,"STRIVE-IPF (NCT03286556, 7 sites, randomised, parallel, masking NONE; enrolment 82 actual, outcome denominators 33 versus 18) primary endpoint %Survival at 6 months: autoantibody reductive therapy 44 (SE 9, n=33) versus treatment as usual 7 (SE 6, n=18); no statistical analysis posted. Secondary: participants with oxygen-requirement reductions 50% versus 22%; walk distance 245 feet (SD 347) versus 133 feet (SD 216). Deaths 18 of 33 versus 16 of 18; serious adverse events 5 of 33 versus 0 of 18.",six-month actuarial survival after an acute exacerbation,26.0,7% (treatment as usual),E1 survival,False,True,a positive open-label randomised survival signal in acute exacerbations sits against a null triple-masked randomised result for rituximab monotherapy in stable IPF (NCT01969409) with numerically more hospitalisations and serious adverse events; the two settings differ and the conflict is preserved rather than resolved,serious adverse events 5 of 33 (active) versus 0 of 18 (treatment as usual); deaths 18 of 33 versus 16 of 18,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. Regimen is therapeutic plasma exchange plus rituximab plus intravenous immunoglobulin. Unresolved problems with the posted result: open-label with no masking, unequal arms (33 versus 18) from 82 enrolled, no baseline lung function or oxygen requirement posted so severity comparability cannot be checked (baseline module posts only age and sex, and sex is imbalanced), no statistical analysis posted, and no results publication. Earlier supporting evidence is an uncontrolled pilot against historical controls (PMID 26083430) and a correlates-of-survival analysis (PMID 34813613).",,yes - only a trial design paper is published (PMID 38509495 / preprint 38464052); no results publication found in PubMed
autologous adipose stromal vascular fraction,I3,1,PHASE1|2,UNKNOWN,0,cell_therapy,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
autologous fecal microbiota transplant,I3,1,NA/none,UNKNOWN,0,biologic,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
axatilimab,I3,1,PHASE2,ACTIVE_NOT_RECRUITING,0,biologic,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
azathioprine,I1,1,PHASE3,TERMINATED,0,repurposed_approved_drug,False,trial_design,Study design changes were needed based on GIPF-001 results,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,13,0,rct,30566847.0,"In PANTHER-IPF, exposure to prednisone/azathioprine/N-acetylcysteine was associated with a higher composite endpoint of death, lung transplantation, hospitalization, or FVC decline for those with an LTL less than the 10th percentile (hazard ratio, 2.84; 95% confidence interval, 1.02-7.87; P = 0.045).","composite endpoint of death, lung transplantation, hospitalization, or FVC decline",,placebo,"composite endpoint of death, lung transplantation, hospitalization, or FVC decline",True,False,,Immunosuppression associated with adverse outcomes in patients with short telomeres; 62% of PANTHER-IPF subjects had LTL <10th percentile,35145039|12917947|26843176|25410822|25760991,30566847|16306520|1859050|22607134|16315778|36470416|31784348|41738192,"13 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
azathioprine + prednisone,I3,1,PHASE2,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
azithromycin,I1,3,PHASE2,COMPLETED|RECRUITING|TERMINATED,0,repurposed_approved_drug,False,recruitment_or_operational,Not meeting recruitment targets,Uncertain,null result that size or phase cannot make decisive,Uncertain,underpowered null,1,1,rct,34015241.0,This randomized controlled trial does not support the use of low-dose azithromycin for chronic cough in patients with IPF,change in cough-related quality of life as measured by the Leicester Cough Questionnaire (LCQ),12.0,placebo,change in cough-related quality of life as measured by the Leicester Cough Questionnaire (LCQ),False,False,,"Gastrointestinal adverse effects were more frequent with azithromycin than with placebo (diarrhea, 43% vs. 5%; P = 0.03)",,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,"PHASE4 (C22): the null is from a double-blind randomised crossover trial of low-dose azithromycin for chronic cough (PMID 34015241, NCT02173145, n=25 randomised); the abandonment reason recorded in Phase 2 refers to a different, terminated combination-therapy trial (NCT01432080). The cough question has a randomised answer; the ongoing large trial NCT05842681 addresses acute exacerbation management, a different question.",,
baduanjin exercise,I1,1,NA/none,COMPLETED,0,non_pharmacological,False,not_applicable,,Uncertain,positive randomised signal below phase 3,Uncertain,early-phase or single randomised source,1,1,rct,41184899.0,"After eight weeks, spirometry parameters were preserved, while MIP, MEP, 6MWT, 6MWT (% predicted), SGRQ-Activity, SGRQ-Impact, and SGRQ-Total scores demonstrated significant improvements in the exercise group (p < .05).","functional capacity (6MWT), respiratory function (spirometry, respiratory muscle strength), quality of life (SGRQ)",8.0,control (no training),"functional capacity (6MWT), respiratory function (spirometry, respiratory muscle strength), quality of life (SGRQ)",False,False,,,,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 0 null, 0 harm.",True,Superseded by the row 'Baduanjin exercise' entered from the traditional-medicine screen; retained as the registry-derived duplicate.,,
bardoxolone methyl,I3,1,PHASE2,COMPLETED,1,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,True,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): the only trial with posted results (LARIAT, NCT02036970) studied pulmonary hypertension with a 6-minute-walk-distance primary endpoint; the WHO Group III / IPF stratum result was a between-arm difference of -1.74 m (95% CI -16.22 to 12.74, p=0.8133). This is pulmonary hypertension management, not IPF treatment; labelled indirect.",,
beclometasone/formoterol (inhaled),I3,1,PHASE2,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
beetroot juice,I3,1,NA/none,RECRUITING,0,traditional_herbal_or_natural_product,True,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
belumosudil,I3,1,PHASE2,COMPLETED,1,repurposed_approved_drug,False,not_applicable,,Uncertain,open-label randomised trial with no between-arm analysis posted,Uncertain,"one open-label randomised trial, registry-posted only",1,0,open-label randomised,,"NCT02688647 (n=76, 2-part open-label and crossover) primary endpoint mean FVC at baseline and week 24: belumosudil 2608.2 mL to 2626.8 mL; best supportive care 2516.7 mL to 2438.1 mL; FVC % predicted 69.61 to 69.71 versus 68.46 to 68.29. No between-arm analysis posted.",mean change in FVC (mL) and FVC % predicted to week 24,24.0,2516.7 mL to 2438.1 mL (best supportive care),E2 disease progression / lung function,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. Open-label without blinding and without a posted statistical comparison; the arm-level values are stable on belumosudil and declining on best supportive care, which is a hypothesis, not a demonstrated effect.",,yes - no results publication found in PubMed
bexotegrast,I1,4,PHASE2,COMPLETED|TERMINATED,4,investigational_drug,False,safety_or_toxicity,DSMB recommendation,Harm outweighs benefit,adequately sized randomised phase 2b terminated on DSMB recommendation with excess disease progression and deaths on active treatment,Probable,one adequately sized randomised trial with registry-posted results; no peer-reviewed publication of these results identified,3,2,rct,,"In BEACON-IPF (NCT06097260, n=319 randomised), terminated on DSMB recommendation, registry-posted results show more disease-progression events on bexotegrast than placebo: 5 of 106 (placebo), 16 of 105 (160 mg) and 25 of 108 (320 mg); Cox hazard ratios versus placebo 3.31 (95% CI 1.21-9.05, p=0.0194) and 5.36 (95% CI 2.05-13.99, p=0.0006). A >=10% absolute FVC decline was also more frequent (odds ratio 3.33, 95% CI 1.03-10.81, p=0.0449 for 160 mg; 3.01, 95% CI 0.91-9.91, p=0.07 for 320 mg). Deaths: 0 of 106, 6 of 105 and 4 of 108; serious adverse events 6, 17 and 21. The week-52 FVC primary endpoint is uninformative because only 1, 1 and 2 participants reached week 52 after early termination.",disease-progression events and mortality,12.0,placebo,E2 disease progression / lung function; E7 survival,False,False,,Diarrhea was the most common TEAE; most participants with diarrhea also received nintedanib.,,,"3 human studies attributed; strongest rct; IPF-only monotherapy randomised: 2 positive, 0 null, 0 harm.",False,"PHASE4 CORRECTION (C23): Phase 2 graded bexotegrast on a phase 2a safety/tolerability trial (PMID 38843105). Results of the terminated phase 2b were posted to ClinicalTrials.gov on 2026-08-05 and were missed by the Phase 2 search, which relied on PubMed. Source: ClinicalTrials.gov results section, NCT06097260, retrieved 2026-09-03.",,
bosentan,I1,6,PHASE4,COMPLETED|UNKNOWN|WITHDRAWN,2,repurposed_approved_drug,False,recruitment_or_operational,competing studies did not allow enrollment,Failed,"two phase 3 randomised trials null on their own primary endpoints (BUILD-1, BUILD-3)",Probable,replicated phase 3 randomised null result,8,4,rct,21474646.0,"No significant difference between treatment groups was observed in the primary endpoint analysis (hazard ratio, 0.85; 95% confidence interval, 0.66-1.10; P=0.2110).",hospital-free survival and overall survival,104.0,no treatment for PH,hospital-free survival and overall survival,False,False,,bosentan was associated with no increase but a trend toward a decrease in adverse events,26843176,38375723,"8 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 2 null, 0 harm.",True,Engine read a conflict from a secondary quality-of-life report (PMID 19679600) whose own conclusion was that effects were minimal. Not a positive result; verdict corrected to Failed.,,
breathlessness advice,I3,1,NA/none,COMPLETED,0,supportive_or_symptomatic,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
budesonide/formoterol,I3,1,PHASE2,TERMINATED,0,repurposed_approved_drug,False,recruitment_or_operational,Not meeting recruitment targets,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
buloxibutid,I3,1,PHASE2,ACTIVE_NOT_RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
car-dc (chimeric antigen receptor dendritic cell) therapy,I3,1,PHASE1,NOT_YET_RECRUITING,0,cell_therapy,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
carbamazepine,I3,1,PHASE1,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
carlumab,I1,1,PHASE2,COMPLETED,0,biologic,False,not_applicable,,Harm outweighs benefit,randomised evidence of excess harm in IPF,Probable,randomised harm signal,1,1,rct,26493793.0,"All active treatment groups showed a greater decline in FVC (1 mg·kg(-1) -290 mL, 5 mg·kg(-1) -370 mL and 15 mg·kg(-1) -320 mL) compared with placebo (-130 mL).",rate of percentage change in forced vital capacity (FVC),52.0,placebo,rate of percentage change in forced vital capacity (FVC),False,False,,"A higher proportion of patients with one or more serious adverse events was observed in the 5 mg·kg(-1) group (53.1%) compared with 1 mg·kg(-1) (15.2%), 15 mg·kg(-1) (21.9%) and placebo (46.4%); dosin",,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 1 harm.",False,,,
cd3/cd19-negative hematopoietic stem cells,I3,1,PHASE1|2,RECRUITING,0,cell_therapy,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
centricyte 1000,I3,1,EARLY_PHASE1,UNKNOWN,0,device_or_procedure,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
co-trimoxazole,I1,1,PHASE3,TERMINATED,0,repurposed_approved_drug,False,unknown,Changes in standards of care,Failed,"adequately powered randomised trial, null on the primary time-to-event composite",Probable,"one adequately powered randomised trial (n=342), not independently replicated",4,2,rct,33289822.0,"hazard ratio of 1.2 ([95% CI, 0.9-1.6]; P = .32)",forced vital capacity (FVC),52.0,placebo,forced vital capacity (FVC),False,True,Shulgina 2013 (PMID 23143842) reported no FVC effect but a per-protocol all-cause mortality reduction; EME-TIPAC (PMID 33165623 family) was null on its primary. Logged in the conflicts register.,The use of co-trimoxazole reduced respiratory tract infections but increased the incidence of nausea and rash.,,33974018|34526011,"4 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 2 null, 0 harm.",True,PHASE4 CORRECTION (C13): EME-TIPAC (PMID 33289822) was missed by the Phase 2 search; it supersedes the smaller earlier trial as the key result. The per-protocol/adherence question is not settled by it.,,
co-trimoxazole or doxycycline,I3,1,PHASE3,TERMINATED,1,repurposed_approved_drug,False,lack_of_efficacy,Terminated for futility after review of first planned interim analysis.,Failed,"registry label for the CleanUP-IPF antimicrobial strategy; graded via that trial, not as a separate agent",Established,"Established (one pragmatic randomised trial, primary endpoint null)",0,0,none retrieved,33974018.0,"Among adults with idiopathic pulmonary fibrosis, the addition of co-trimoxazole or doxycycline to usual care, compared with usual care alone, did not significantly improve time to nonelective respiratory hospitalization or death.",time to non-elective respiratory hospitalisation or death,,,hospitalisation or death (composite; E10/E11),False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"Duplicate registry label resolved in the Phase 3 retrieval check (C11): this is the CleanUP-IPF strategy arm, the same evidence as the 'co-trimoxazole' and 'doxycycline' rows. Kept so the registry label resolves, cross-referenced rather than counted as independent evidence.",,
cognitive behavioural therapy,I3,1,NA/none,UNKNOWN,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
cognitive exercise training,I3,1,NA/none,COMPLETED,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
colchicine,I2,0,none (literature-only),,0,,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,3,0,rct,16611657.0,"In the intent-to-treat population, five out of 32 (15.6%) IFN-gamma-1b patients and seven out of 18 (38.8%) colchicine patients died after a median follow-up period of 25 months",,104.0,colchicine,,True,False,,,12917947|22285287,16611657,"3 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
comprehensive patient support program,I3,1,NA/none,COMPLETED,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
continuous positive airway pressure,I2,2,NA/none,COMPLETED|TERMINATED,0,device_or_procedure,False,recruitment_or_operational,Lack of enrollment,Uncertain,non-randomised or indirect human evidence only,Uncertain,observational or uncontrolled only,3,0,observational_cohort,25028171.0,The good CPAP compliance group (37 patients) showed statistically significant improvement in all quality-of-life and sleep instruments after 1 year's CPAP treatment.,quality-of-life and sleep parameters; mortality,104.0,poor CPAP compliance vs. good CPAP compliance,quality-of-life and sleep parameters; mortality,False,False,,"During the 24-month follow-up period after CPAP initiation, three patients from the CPAP poor compliance group died, whereas all patients from the good CPAP compliance group remained alive.",,20686281,"3 human studies attributed; strongest observational_cohort; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
conventional nasal cannula (oxygen delivery),I3,1,NA/none,COMPLETED,0,device_or_procedure,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
corticosteroid,I1,7,PHASE3,COMPLETED|RECRUITING|TERMINATED|UNKNOWN|WITHDRAWN,0,repurposed_approved_drug,False,recruitment_or_operational,Not meeting recruitment targets,Harm outweighs benefit,excess mortality in pooled largely observational data; monotherapy has never been randomised in IPF,Uncertain,pooled data predominantly observational; no randomised monotherapy trial retrieved,35,3,rct,40277510.0,"Steroid treatment poses a higher risk, as suggested by the summary measures (RR of 1.78; CI 1.29-2.76, p = 0.00001).",overall mortality,,"prednisone (oral daily, low dose)",overall mortality,False,False,,,23734867|40754799|26843176|35145039|30036496|22654087|18471669|22285287,30566847|16306520|1859050|22607134|41957608|16315778|32476944|37612098|31784348|39164677|24585320|7875264|15738299|25270958,"35 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 1 null, 1 harm.",True,"Tier downgraded from Probable: the pooled RR 1.78 (PMID 40277510) rests mainly on observational sources, and the strongest randomised harm evidence is for the triple-therapy combination, graded as its own entity.",,
"corticosteroids, plasma exchange, and rituximab",I3,1,PHASE2,WITHDRAWN,0,other,False,not_applicable,,Duplicate (merged into autoantibody reductive therapy),no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"PHASE6 A5 (registry-results sweep): a word-order variant of the same regimen created by separate Phase 2 name strings; evidence is carried on the 'autoantibody reductive therapy' and 'plasma exchange, rituximab, and corticosteroids' rows.",autoantibody reductive therapy,
counselling,I3,1,NA/none,COMPLETED,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
cromolyn sodium (RVT-1601),I1,2,PHASE2,TERMINATED,0,investigational_drug,False,not_applicable,COVID-19 Pandemic; Difficulty recruiting; Funding ended; interim analysis provided sufficient data for interpretation.,Failed,larger randomised dose-ranging trial null on the primary cough endpoint,Probable,one phase 2b randomised trial superseding an earlier smaller positive phase 2a trial,1,1,rct,35050837.0,did not provide benefit over placebo for the treatment of chronic cough in patients with IPF,change from baseline to end of treatment in log-transformed 24-hour cough count,12.0,placebo matching inhaled three times daily,change from baseline to end of treatment in log-transformed 24-hour cough count,False,False,,Treatment was generally well tolerated.,,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,"PHASE4 CORRECTION (C15): the record held only the terminated programme and graded it as stopped without a result. A phase 2a trial of the same inhaled formulation was positive on cough (PMID 28923239) and a larger phase 2b dose-ranging trial was null (PMID 35050837). Superseded, not abandoned before a result.",,
cudetaxestat,I3,1,PHASE2,UNKNOWN,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
cyclophosphamide,I1,2,PHASE3,COMPLETED,0,repurposed_approved_drug,False,not_applicable,,Harm outweighs benefit,randomised evidence of excess harm in IPF,Probable,randomised harm signal,9,1,rct,34506761.0,The 3-month all-cause mortality was 45% (27/60) in patients given cyclophosphamide compared with 31% (18/59) in the placebo group (difference 14·5% [95% CI -3·1 to 31·6]; p=0·10).,3-month all-cause mortality,12.0,placebo,3-month all-cause mortality,False,False,,Adverse events similar between groups by 6 months; overall infection was main adverse event (33% cyclophosphamide vs 36% placebo).,12917947|40754799|30036496,26521106|15738299|32476944|7875264,"9 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 1 harm.",False,,,
cyclosporine,I2,0,none (literature-only),,0,,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,2,0,rct,26521106.0,"There was no significant difference between the CYA and CPA groups with regard to the change in FVC between baseline and 48 weeks (-0.078L and -0.087L, respectively).",change in forced vital capacity (FVC) between baseline and 48 weeks,48.0,cyclophosphamide with low-dose corticosteroids (and implicit comparison to place,change in forced vital capacity (FVC) between baseline and 48 weeks,True,False,,Neither group differed significantly with regard to incidence of adverse events; both therapies well tolerated and lacked serious adverse effects.,18471669,26521106,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
dabigatran,I2,1,NA/none,UNKNOWN,0,repurposed_approved_drug,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,1,0,systematic_review,36035947.0,"In patients with sclerosis-associated pulmonary arterial hypertension (SSc-PAH) or idiopathic pulmonary fibrosis (IPF), vitamin K antagonist (warfarin) significantly increased the mortality risk, while DOACs were not.","mortality risk, recurrent embolism events, major bleeding",,warfarin vs DOAC,"mortality risk, recurrent embolism events, major bleeding",True,False,,DOACs have lower risk of major bleeding compared with warfarin; no statistical significance in non-major bleeding.,36035947,,"1 human studies attributed; strongest systematic_review; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
daoyin technique,I3,1,NA/none,NOT_YET_RECRUITING,0,non_pharmacological,True,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,Probable duplicate of 'Pulmonary Daoyin (TCM rehabilitation programme)' (PMID 33164264); not merged because the two rows were extracted from different sources and the identity of the practice was not verified. Flagged in Phase 6 action A4.,,
dasatinib,I2,0,none (literature-only),,0,,False,not_applicable,,Poorly studied,no IPF-only monotherapy human evidence; appears only in combination or pooled sources,Unknown,attribution not separable,2,0,rct,36857968.0,"While the placebo arm reported fewer overall non-serious AEs (65 vs 22), there were no serious adverse events related to D + Q.",adverse events and study feasibility,3.0,placebo,adverse events and study feasibility,True,False,,Sleep disturbances and anxiety disproportionately represented in D+Q arm (4/6 vs 0/6); most other AEs common in IPF or anticipated side effects of dasatinib.,,36857968|30616998,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,,,
dasatinib + quercetin,I3,1,PHASE1,COMPLETED,0,investigational_drug,True,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
deupirfenidone,I1,2,PHASE3,ACTIVE_NOT_RECRUITING|RECRUITING,0,investigational_drug,False,not_applicable,,Uncertain,single phase 2b trial positive on a 26-week FVC endpoint; no phase 3 result exists,Probable,"Probable (one randomised phase 2b trial, 26 weeks, Bayesian primary analysis)",1,1,rct,42085224.0,"Posterior mean change in FVC for placebo was -110.71 mL (95% credible interval (CI), -148.75, -70.98), and for the combined deupirfenidone arms was -48.42 mL (95% CI, -87.66, -9.04) with a posterior mean difference of 62.29 mL (95% CI l, -6.13, 115.73; posterior probability, 0.985).","rate of change in FVC at 26 weeks, combined deupirfenidone arms vs placebo",26.0,placebo,rate of FVC decline (E1),False,False,,The most common adverse events for each active treatment arm were gastrointestinal.,,42085224,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",True,Reclassified from 'Poorly studied' in the Phase 3 retrieval-artefact check (corrections entry C11): the Phase 2 per-entity search had missed the primary report. Graded from the retrieved abstract; full text not read.,,
diet a,I3,1,PHASE1,COMPLETED,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
diet b,I3,1,PHASE1,COMPLETED,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
diet c,I3,1,PHASE1,COMPLETED,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
