nct,title,phase,enroll,status,why,completion,n_primary,primary_titles,n_analyses,iv_match,record_state,sweep_outcome
NCT05954988,A Study to Evaluate LTI-03 in Newly Diagnosed Idiopathic Pulmonary Fibrosis (IPF) Patients,PHASE1,24,COMPLETED,,2024-09-25,1,Incidence of Treatment-emergent Adverse Events (TEAEs),0,LTI-03,"LTI-03 [Uncertain/randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal] pmid=42538332.0 posted=1",already graded on published evidence - no change
NCT05621252,Imaging Evaluation of PLN-74809 in Participants With IPF (PLN-74809),PHASE2,10,COMPLETED,,2023-12-27,1,Primary Outcome,0,bexotegrast,,already graded on published evidence - no change
NCT02345070,Efficacy and Safety of SAR156597 in the Treatment of Idiopathic Pulmonary Fibrosis,PHASE2,327,COMPLETED,,2017-05-22,1,Absolute Change From Baseline in Percent Predicted Forced Vital Capacity (FVC) at Week 52,2,SAR156597,"SAR156597 [Failed/adequately sized randomised evidence, null] pmid=30337444.0 posted=1",already graded on published evidence - no change
NCT03286556,Autoantibody Reduction for Acute Exacerbations of Idiopathic Pulmonary Fibrosis,PHASE2,82,COMPLETED,,2024-08-01,1,%Survival,0,autoantibody reductive therapy,autoantibody reductive therapy [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,"material correction - Uncertain, held at verification (C27)"
NCT03928847,Fibroblast Specific Inhibition of LOXL2 and TGFbeta1 Signaling in Patients With Pulmonary Fibrosis.,EARLY_PHASE1,35,COMPLETED,,2019-05-31,6,EGCG PK Level in Healthy Volunteers || Change of Serum Biomarker COMP Before and After EGCG Treatment in ILD Patients || Change of Serum Biomarker Periostin Before and After EGCG Treatment in ILD Patients || Difference of Biomarker Snail1 Between EGCG-treated and Non-treated Patient Groups || Difference of Biomarker Collagen I Between EGCG-treated and Non-treated Patient Groups || Difference of Biomarker p-Smad3 Between EGCG-treated and Non-treated Patient Groups,6,egcg,egcg [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=38980870.0 posted=1,already graded on published evidence - no change
NCT04594707,A Study to Evaluate Long Term Safety and Efficacy of Recombinant Human Pentraxin-2 (rhPTX-2; PRM-151) in Participants With Idiopathic Pulmonary Fibros,PHASE3,117,TERMINATED,The study was terminated by Sponsor as the futility analysis outcome indicated that the study was unlikely to meet the predefined primary objective of the study. No new safety concerns were identified.,2023-02-10,3,Percentage of Participants With Adverse Events (AEs) || Percentage of Participants With Infusion Related Reactions (IRRs) and Other AEs of Special || Percentage of of Participants Permanently Discontinuing Study Treatment Due to AEs,0,zinpentraxin alfa,"zinpentraxin alfa [Failed/adequately sized randomised evidence, null] pmid=38354066.0 posted=4",already graded on published evidence - no change
NCT04308681,"A Study Measuring the Effectiveness, Safety, and Tolerability of BMS-986278 in Participants With Lung Fibrosis",PHASE2,403,COMPLETED,,2022-08-04,1,Change From Baseline in Percent Predicted Forced Vital Capacity (ppFVC) in IPF Participant,0,admilparant (BMS-986278),admilparant (BMS-986278) [Uncertain/phase 2: IPF cohort confidence interval includes zero; the significant result is in the separate PPF cohort] pmid=39393084.0 posted=1,already graded on published evidence - no change
NCT00287716,Three-Arm Study of the Safety and Efficacy of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis,PHASE3,435,COMPLETED,,2008-11-10,1,Absolute Change in Percent Predicted Forced Vital Capacity (FVC),2,pirfenidone,pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14,already graded on published evidence - no change
NCT06097260,"Randomized, Double-blind Study of Efficacy and Safety of Bexotegrast (PLN-74809) for Idiopathic Pulmonary Fibrosis",PHASE2,320,TERMINATED,DSMB recommendation,2025-04-04,1,Change From Baseline in Forced Vital Capacity at Week 52,6,bexotegrast,bexotegrast [Harm outweighs benefit/adequately sized randomised phase 2b terminated on DSMB recommendation with excess disease progression and deaths on active treatment] pmid=nan posted=4,already graded on published evidence - no change
NCT05537025,Study of ARO-MMP7 Inhalation Solution in Healthy Participants and Participants With Idiopathic Pulmonary Fibrosis,"PHASE1,PHASE2",105,COMPLETED,,2025-09-05,1,Number of Participants With Treatment-Emergent Adverse Events (TEAEs),0,ARO-MMP7 (inhaled),ARO-MMP7 (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,confirmation - non-clinical primary endpoint
NCT02707640,A Study to Assess the Safety and Tolerability of N-Acetylcysteine When Administered With Pirfenidone to Participants With Idiopathic Pulmonary Fibrosi,PHASE2,123,COMPLETED,,2015-02,7,Percentage of Participants With Dose Reductions || Percentage of Participants With Early Treatment Discontinuations || Percentage of Participants With Treatment-Emergent Adverse Events (TEAEs) || Percentage of Participants With Treatment-Emergent Serious Adverse Events (SAEs) || Percentage of Participants With Treatment-Emergent Adverse Events Resulting in Permanent D || Percentage of Participants With Treatment-Emergent Deaths of All Causes || Percentage of Participants With Treatment-Emergent Adverse Events That Led to Dose Reducti,0,n-acetylcysteine; pirfenidone,"n-acetylcysteine [Failed/monotherapy null in an adequately sized randomised arm (PANTHER-IPF NAC arm, n=264)] pmid=24836309.0 posted=2 || pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14",already graded on published evidence - no change
NCT02138825,Efficacy and Safety of Riociguat in Patients With Symptomatic Pulmonary Hypertension (PH) Associated With Idiopathic Interstitial Pneumonias (IIP),PHASE2,147,TERMINATED,"Study terminated per recommendation of iDMC. On iDMC request, protocol amended to include 4-month safety follow-up for patients after withdrawal of riociguat.",2016-05-05,1,Mean Change in 6 Minute Walking Distance (6MWD) From Baseline to Week 26,2,riociguat,riociguat [Harm outweighs benefit/randomised evidence of excess harm in IPF] pmid=31416769.0 posted=1,already graded on published evidence - no change
NCT03422068,This Study Tests Different Doses of BI 1015550 in Patients With Idiopathic Pulmonary Fibrosis (IPF). The Study Tests How BI 1015550 is Taken up by the,PHASE1,15,COMPLETED,,2019-07-01,1,Percentage of Participants With Drug-related Adverse Events (AEs) On-treatment,0,nerandomilast,,already graded on published evidence - no change
NCT01969409,Autoantibody Reduction Therapy in Patients With Idiopathic Pulmonary Fibrosis,PHASE2,58,COMPLETED,,2019-01-31,1,Autoantibodies to Human Epidermoid (HEp)-2 Cells,0,rituximab,rituximab [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=32777737.0 posted=1,material correction - graded Uncertain (C32)
NCT01118221,Rehabilitation of Idiopathic Pulmonary Fibrosis (IPF) Patients,NA,25,COMPLETED,,2013-09,1,6 Minute Walk Distance,0,pulmonary rehabilitation / exercise training,"pulmonary rehabilitation / exercise training [Works/consistent improvement in exercise capacity and health-related quality of life across multiple small randomised trials; no effect claimed on lung-function decline, exacerbation or survival] pmid=33164264.0 posted=3",already graded on published evidence - no change
NCT04419506,A Study to Test How Taking BI 1015550 for 12 Weeks Affects Lung Function in People With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,147,COMPLETED,,2021-10-06,1,The Change From Baseline in Forced Vital Capacity (FVC) at 12 Weeks,2,nerandomilast,,already graded on published evidence - no change
NCT01872689,A Study of Lebrikizumab in Participants With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,505,COMPLETED,,2017-07-28,1,Annualized Rate of Decrease in Percent Predicted Forced Vital Capacity (FVC) Over 52 Weeks,20,lebrikizumab; pirfenidone,lebrikizumab [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=33008934.0 posted=1 || pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14,already graded on published evidence - no change
NCT01619085,Extension Trial of the Long Term Safety of BIBF 1120 in Patients With Idiopathic Pulmonary Fibrosis,PHASE3,752,COMPLETED,,2017-07-05,1,Incidence of Adverse Events (AEs),0,nintedanib,"nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT03573505,An Efficacy and Safety Study of BG00011 in Participants With Idiopathic Pulmonary Fibrosis,PHASE2,109,TERMINATED,Study was stopped because of safety concerns.,2019-11-14,1,Change From Baseline in Forced (Expiratory) Vital Capacity (FVC) at Week 52,1,BG00011,BG00011 [Harm outweighs benefit/randomised evidence of excess harm in IPF] pmid=35771569.0 posted=2,already graded on published evidence - no change
NCT03717012,Study of Pulmonary Rehabilitation in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE4,19,TERMINATED,The trial was terminated prematurely due to difficulties with recruitment because of the COVID-19 pandemic.,2020-03-27,1,Change From Baseline in the 6 Minute Walk Test (6MWD) at 12 Weeks,0,pulmonary rehabilitation / exercise training; nintedanib,"pulmonary rehabilitation / exercise training [Works/consistent improvement in exercise capacity and health-related quality of life across multiple small randomised trials; no effect claimed on lung-function decline, exacerbation or survival] pmid=33164264.0 posted=3 || nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT05964335,Cough Reduction in IPF With Nalbuphine ER,PHASE2,165,COMPLETED,,2025-04-24,1,Relative Change From Baseline in 24-hour Cough Frequency at Week 6,3,NAL ER,"NAL ER [Works/cough frequency only (E9); replicated in two randomised trials of <=6 weeks; no lung-function, exacerbation or survival claim] pmid=41569557.0 posted=4",already graded on published evidence - no change
NCT02759120,CleanUP IPF for the Pulmonary Trials Cooperative,PHASE3,513,TERMINATED,Terminated for futility after review of first planned interim analysis.,2020-03-16,1,"Number of Participants With First Non-elective, Respiratory Hospitalization or All-cause M",17,co-trimoxazole or doxycycline; co-trimoxazole; doxycycline,"co-trimoxazole or doxycycline [Failed/registry label for the CleanUP-IPF antimicrobial strategy; graded via that trial, not as a separate agent] pmid=33974018.0 posted=1 || co-trimoxazole [Failed/adequately powered randomised trial, null on the primary time-to-event composite] pmid=33289822.0 posted=0 || doxycycline [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=33974018.0 posted=0",already graded on published evidence - no change
NCT05513950,"A Study to Investigate the Safety, Tolerability, and Pharmacokinetics of Monoclonal Antibody (mAb) in Patients With IPF (SAD).",PHASE1,52,COMPLETED,,2024-06-17,1,1_Subjects With Adverse Event (AE); Non-Serious AEs and Serious AEs,0,CHF10067,CHF10067 [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=3,confirmation - non-clinical primary endpoint
NCT03562247,Telenursing and Remote Monitoring in Idiopathic Pulmonary Fibrosis (IPF),NA,31,TERMINATED,Principal Investigator left the institution and the study was closed with the IRB,2020-05-26,1,The Number Hospitalization Events Resulting From a Respiratory Illness,0,telenursing and remote monitoring; telenursing,telenursing and remote monitoring [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || telenursing [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,"confirmation - terminated, underpowered"
NCT02688647,"A 2-Part, Phase 2 Open-label and Crossover Study of Belumosudil for Treatment of Idiopathic Pulmonary Fibrosis",PHASE2,76,COMPLETED,,2021-04-13,6,Efficacy: Mean Changes in FVC From Baseline to Week 24 || Efficacy: Mean Changes in FVC% Predicted From Baseline at Week 24 || Safety: Percentages of Subjects With Non-serious TEAEs and Relationship to Study Treatment || Safety: Percentages of Subjects With SAEs Related to Study Treatment || Safety: Percentages of Subjects With TEAEs Leading to Discontinuation of Treatment With Be || Safety: Percentages of Subjects With Deaths Related to Study Treatment,14,belumosudil,belumosudil [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Uncertain (C28)
NCT05032066,"A Multicenter Trial to Evaluate the Efficacy, Safety and Tolerability of HZN-825 in Subjects With Idiopathic Pulmonary Fibrosis",PHASE2,153,TERMINATED,The trial was terminated due to not meeting primary or key secondary endpoints.,2024-07-22,2,Core Phase: Change in FVC % Predicted From Baseline to Week 52 || Extension Phase: Change in FVC % Predicted From OLE Baseline to Week 104,18,HZN-825,HZN-825 [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Failed (C25)
NCT00514683,Safety And Efficacy of BIBF 1120 in Idiopathic Pulmonary Fibrosis,PHASE2,432,COMPLETED,,2010-06,1,Rate of Decline in FVC,148,nintedanib,,already graded on published evidence - no change
NCT02477709,A Study to Assess the Tolerability of a Single Dose of Gefapixant (AF-219/MK-7264) in Subjects With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,6,COMPLETED,,2015-08-07,1,Effect of Gefapixant on BP,0,gefapixant,gefapixant [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=2,material correction - graded Failed (C26); publication located
NCT00631475,Open Label Extension Study in Patients With Idiopathic Pulmonary Fibrosis Who Completed Protocol AC-052-321/ BUILD 3 / NCT00391443,PHASE3,128,COMPLETED,,2010-04,1,Extent of Exposure to Bosentan in Patients With Idiopathic Pulmonary Fibrosis (IPF),0,bosentan,"bosentan [Failed/two phase 3 randomised trials null on their own primary endpoints (BUILD-1, BUILD-3)] pmid=21474646.0 posted=2",already graded on published evidence - no change
NCT05427253,"First-in-human Trial to Evaluate the Safety, Tolerability and Pharmacokinetics of C106 in Healthy Subjects",PHASE1,80,COMPLETED,,2023-06-22,5,"Total Number of Treatment Emergent Adverse Events (AEs) and Serious AEs (SAEs) || Number of Reported Clinically Significant Changes From Baseline in 12-lead Electrocardiogr || Number of Reported Clinically Significant Changes in Vital Signs || Number of Clinically Significant Changes in Laboratory Safety Variables (Haematology, Coag || Number of Reported Clinically Significant Changes in Physical Examinations.",0,C106,C106 [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,confirmation - non-clinical primary endpoint
NCT04552899,A Study to Evaluate the Efficacy and Safety of Recombinant Human Pentraxin-2 (rhPTX-2; PRM-151) in Participants With Idiopathic Pulmonary Fibrosis,PHASE3,665,TERMINATED,The study was terminated by Sponsor as the futility analysis outcome indicated that the study was unlikely to meet the predefined primary objective of the study. No new safety concerns were identified.,2023-02-10,1,Absolute Change in Forced Vital Capacity (FVC [mL]),4,zinpentraxin alfa,"zinpentraxin alfa [Failed/adequately sized randomised evidence, null] pmid=38354066.0 posted=4",already graded on published evidence - no change
NCT02257177,RCT (Randomized Control Trial) of TD139 vs Placebo in HV's (Human Volunteers) and IPF Patients,"PHASE1,PHASE2",60,COMPLETED,,2016-12,1,Number of Participants With Adverse Events,0,inhaled TD139; GB0139,beclometasone/formoterol (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0 || ARO-MMP7 (inhaled) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || inhaled TD139 [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Failed (C24)
NCT00287729,Safety and Efficacy of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis,PHASE3,344,COMPLETED,,2008-11,1,Absolute Change in Percent Predicted Forced Vital Capacity(FVC),0,pirfenidone,pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14,already graded on published evidence - no change
NCT03208933,Open-label Study to Assess the Effectiveness of Pirfenidone in Participants With Idiopathic Pulmonary Fibrosis (IPF).,PHASE3,60,COMPLETED,,2019-11-13,2,Change From Baseline to Week 26 in Absolute Millilitre (mL) Forced Vital Capacity (FVC) || Change From Baseline to Week 26 in Percent (%) Predicted FVC,0,pirfenidone,pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14,already graded on published evidence - no change
NCT04072315,Phase 2a Evaluation of PLN-74809 on αvβ6 Receptor Occupancy Using PET Imaging in Participants With IPF/,PHASE2,9,COMPLETED,,2022-06-27,1,Number of Participants With a Predicted Effect on αVβ6 PET ( Positron Emission Tomography),0,bexotegrast,,already graded on published evidence - no change
NCT06037408,The Effect of N115 on Coughing in IPF Patients,PHASE3,50,COMPLETED,,2024-05-16,1,Percent Change in Coughing Episodes Per Day From Baseline to Day 21.,2,sodium pyruvate (nasal),sodium pyruvate (nasal) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,"material correction - Uncertain, held at verification (C29)"
NCT03104322,Patient-reported Monitoring of Symptoms and Spirometry Via the patientMpower Platform in Idiopathic Pulmonary Fibrosis,NA,7,COMPLETED,,2018-03-09,1,Acceptability of patientMpower Platform From Patient & Healthcare Professional Perspective,0,patientmpower platform,patientmpower platform [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,confirmation - acceptability endpoint
NCT03287414,"Study of Pharmacodynamics, Pharmacokinetics, Safety and Tolerability of VAY736 in Patients With Idiopathic Pulmonary Fibrosis",PHASE2,30,TERMINATED,Sponsor decision,2020-11-25,1,Change From Baseline to End of Treatment Epoch (48 Weeks of Treatment) in Forced Vital Cap,13,ianalumab (VAY736),ianalumab (VAY736) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Uncertain (C28)
NCT01366209,Efficacy and Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE3,555,COMPLETED,,2014-02,1,Change in Percent Predicted Forced Vital Capacity (%FVC) From Baseline to Week 52,0,pirfenidone,pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14,already graded on published evidence - no change
NCT05670587,A Study in People With Pulmonary Fibrosis to Monitor Cough With a Wearable Device,NA,53,COMPLETED,,2024-02-22,1,"Cough Count Per Hour (CC/hr) Measured Over a 24-hour Period at Baseline Visit, Week 4, Wee",3,,,"no landscape entity matched - observational, imaging or monitoring study"
NCT05321069,A Study to Find Out Whether BI 1015550 Improves Lung Function in People With Idiopathic Pulmonary Fibrosis (IPF),PHASE3,1177,COMPLETED,,2024-08-16,1,Absolute Change From Baseline in Forced Vital Capacity (FVC) [mL] at Week 52,24,nerandomilast,,already graded on published evidence - no change
NCT00600028,Treatment of Chronic Cough in Idiopathic Pulmonary Fibrosis With Thalidomide,PHASE3,25,COMPLETED,,2011-09,1,Efficacy of Thalidomide in Suppressing the Chronic Cough of Idiopathic Pulmonary Fibrosis ,2,thalidomide,"thalidomide [Uncertain/single 23-patient crossover trial, cough dimension only] pmid=22986377.0 posted=1",already graded on published evidence - no change
NCT00705133,Treprostinil Therapy For Patients With Interstitial Lung Disease And Severe Pulmonary Arterial Hypertension,PHASE2,15,COMPLETED,,2011-01,1,6 Minute Walk Distance,0,,,"no landscape entity matched - observational, imaging or monitoring study"
NCT03069989,Single Doses of GSK3008348 in Idiopathic Pulmonary Fibrosis (IPF) Participants Using Positron Emission Tomography (PET) Imaging,PHASE1,8,TERMINATED,Sufficient information was gathered from cohort 1 to terminate the study without proceeding to optional cohort 2.,2018-07-04,35,"Period 2: Volume of Distribution (VT) of [18F]-FBA-A20FMDV2 in the Whole Lung (Not Correct || Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs) || Period 1: Change From Baseline in Hematology Parameters: Basophils, Eosinophils, Lymphocyt || Period 2: Change From Baseline in Hematology Parameters: Basophils, Eosinophils, Lymphocyt || Period 1: Change From Baseline in Hematology Parameter: Hemoglobin || Period 2: Change From Baseline in Hematology Parameter: Hemoglobin || Period 1: Change From Baseline in Hematology Parameter: Hematocrit || Period 2: Change From Baseline in Hematology Parameter: Hematocrit || Period 1: Change From Baseline in Hematology Parameter: Mean Corpuscle Hemoglobin || Period 2: Change From Baseline in Hematology Parameter: Mean Corpuscle Hemoglobin || Period 1: Change From Baseline in Hematology Parameter: Mean Corpuscle Volume || Period 2: Change From Baseline in Hematology Parameter: Mean Corpuscle Volume || Period 1: Change From Baseline in Hematology Parameter: Red Blood Cell Count || Period 2: Change From Baseline in Hematology Parameter: Red Blood Cell Count || Period 1: Change From Baseline in Chemistry Parameters: Alkaline Phosphatase, Alanine Amin || Period 2: Change From Baseline in Chemistry Parameters: Alkaline Phosphatase, Alanine Amin || Period 1: Change From Baseline in Chemistry Parameters: Albumin and Total Protein || Period 2: Change From Baseline in Chemistry Parameters: Albumin and Total Protein || Period 1: Change From Baseline in Chemistry Parameters: Direct Bilirubin, Total Bilirubin  || Period 2: Change From Baseline in Chemistry Parameters: Direct Bilirubin, Total Bilirubin  || Period 1: Change From Baseline in Chemistry Parameters: Calcium, Glucose, Potassium, Sodiu || Period 2: Change From Baseline in Chemistry Parameters: Calcium, Glucose, Potassium, Sodiu || Period 1: Number of Participants With Abnormal Urinalysis Results by Dipstick || Period 2: Number of Participants With Abnormal Urinalysis Results by Dipstick || Period 1: Change From Baseline in Vital Signs: Diastolic Blood Pressure (DBP) and Systolic || Period 2: Change From Baseline in Vital Signs: DBP and SBP || Period 1: Change From Baseline in Vital Signs: Heart Rate || Period 2: Change From Baseline in Vital Signs: Heart Rate || Period 1: Change From Baseline in Vital Sign: Respiration Rate || Period 2: Change From Baseline in Vital Sign: Respiration Rate || Period 1: Change From Baseline in Vital Sign: Temperature || Period 2: Change From Baseline in Vital Sign: Temperature || Period 1: Number of Participants With Abnormal Findings for 12-lead Electrocardiograms (EC || Period 2: Number of Participants With Abnormal Findings for 12-lead ECG Parameters || Period 1: Change From Baseline in Forced Expiratory Volume in 1 Second (FEV1) and Forced V",0,GSK3008348,"GSK3008348 [Uncertain/randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal] pmid=32216814.0 posted=1",already graded on published evidence - no change
NCT03955146,Zephyrus I: Evaluation of Efficacy and Safety of Pamrevlumab in Participants With Idiopathic Pulmonary Fibrosis (IPF),PHASE3,393,TERMINATED,Study did not meet its primary endpoint.,2023-03-20,2,DB Period (Main Study Cohort): Change From Baseline in FVC at Week 48 || DB Period (Japan Extension Cohort): Change From Baseline in FVC at Week 48,1,pamrevlumab,"pamrevlumab [Failed/phase 2 positive, adequately sized phase 3 null on the same endpoint; the phase 3 supersedes] pmid=38762797.0 posted=3",already graded on published evidence - no change
NCT00981747,Targeting Vascular Reactivity in Idiopathic Pulmonary Fibrosis,"PHASE2,PHASE3",12,TERMINATED,Funding was withdrawn.,2016-12,1,Change in Six Minute Walk Distance in Meters,0,sildenafil and losartan; sildenafil; losartan,interferon alpha (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || sildenafil and losartan [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || jaktinib (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0 || sildenafil [Failed/null in the overall IPF population and in an enriched pulmonary-hypertension-risk population; the right-heart-dysfunction subgroup hypothesis showed no treatment-by-subgroup heterogeneity when tested] pmid=32822614.0 posted=5 || losartan [Uncertain/non-randomised or indirect human evidence only] pmid=22810758.0 posted=2,already graded on published evidence - no change
NCT03068091,Assessment of Lung Movement With Computed Tomography (CT),NA,25,COMPLETED,,2018-09-30,1,Lung Motion as Assessed by CT,0,,,"no landscape entity matched - observational, imaging or monitoring study"
NCT01170065,Roll Over Study From 1199.30 BIBF 1120 in Idiopathic Pulmonary Fibrosis (IPF),PHASE2,198,COMPLETED,,2016-09-26,1,Annual Rate of Decline in Forced Vital Capacity (FVC),0,nintedanib,,already graded on published evidence - no change
NCT00662038,Open-Label Study of the Long Term Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE3,1058,COMPLETED,,2016-02,1,Percentage of Participants With Adverse Events,0,pirfenidone,pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14,already graded on published evidence - no change
NCT01769196,Study to Assess the Efficacy and Safety of Simtuzumab (GS-6624) in Adults With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,544,TERMINATED,The Study was terminated due to lack of efficacy.,2016-02-23,3,Progression Free Survival || PFS Among the Participants With sLOXL2 ≥ 50th Percentile || PFS Among the Participants With sLOXL2 ≥ 75th Percentile,6,simtuzumab,"simtuzumab [Failed/adequately sized randomised evidence, null] pmid=27939076.0 posted=2",already graded on published evidence - no change
NCT04396756,Evaluation of Efficacy and Safety of PLN-74809 in Patients With Idiopathic Pulmonary Fibrosis,PHASE2,120,COMPLETED,,2023-02-01,6,"Part A - Number of Participants With Treatment-Emergent Adverse Events || Part B, C, D - Number of Participants With Treatment-Emergent Adverse Events || Part D - Number of Participants With Treatment-Emergent Adverse Events || Part A - Number of Participants With Serious Treatment-Emergent Adverse Events || Part B, C, D - Number of Participants With Serious Treatment-Emergent Adverse Events || Part D - Number of Participants With Serious Treatment-Emergent Adverse Events",0,bexotegrast,,already graded on published evidence - no change
NCT01982968,Treatment of IPF With Laparoscopic Anti-Reflux Surgery,NA,58,COMPLETED,,2017-11,1,Forced Vital Capacity (FVC),0,surgery,surgery [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=35486080.0 posted=1,already graded on published evidence - no change
NCT00080223,Safety Study of Oral Pirfenidone in Patients With Pulmonary Fibrosis/Idiopathic Pulmonary Fibrosis,PHASE2,83,COMPLETED,,2015-04-30,1,"Percentage of Participants With a Treatment-Emergent Adverse Event (AE), Serious AE (SAE),",0,pirfenidone,interferon alpha (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || jaktinib (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0 || pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14,already graded on published evidence - no change
