map_id,section,statement,subject,outcome_dimension,evidence_tier,evidence_tier_sublabel,sources,maps_to_unmet_need,caveat,provenance,phase4_status,phase6_status
M5.6,S5 What we do not know,Whether slowing FVC decline changes survival is unknown. This unresolved surrogacy question sits underneath every positive verdict in the record.,endpoint surrogacy,rate of FVC decline (E1) vs survival (E11),Unknown,Unknown (carried from Phase 1 as an unresolved endpoint-level question; X5),ipf_phase2_conflicts_register.csv X5,UN8,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.7,S5 What we do not know,"Results of a large fraction of completed IPF trials cannot be found: of 149 completed interventional trials, 110 have no retrievable results and 97 of those are beyond the 12-month reporting window. This is a gap in the record, not evidence about the interventions.",retrievability,not applicable,Established,Established as a fact about the record (systematic registry-to-literature check),ipf_phase1_retrievability_register.csv,UN10,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.8,S5 What we do not know,"48 development programmes stopped before establishing a result, and for 10 of them no reason is stated anywhere in the retrieved record.",abandoned programmes,not applicable,Established,Established as a fact about the record,ipf_phase2_negative_results_register.csv,UN10,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.9,S5 What we do not know,"The Phase 2 per-entity search under-retrieves for agents whose registry label is a code name or a two-drug string: six of seventeen phase-3-labelled entities initially graded 'Poorly studied' in fact had published primary reports (corrections entry C11). Phase 6 action A5 then swept ClinicalTrials.gov posted results across the whole landscape and found that 12 further entities did have IPF human outcome data (4 now Failed, 8 now Uncertain) and that 2 more were duplicate name strings, leaving 195 'Poorly studied' rows. That count remains an upper bound on genuine absence of evidence, not a count of it.",completeness of this record,not applicable,Established,"Established as a fact about the method, measured by the Phase 3 retrieval check",corrections_log.csv C11; ipf_phase3_retrieval_check.json,UN10,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,amended in Phase 6 (C31) after the A5 registry-results sweep
M5.10,S5 What we do not know,"Chinese-language databases (CNKI, VIP, Wanfang, SinoMed) and Embase, CENTRAL, EU-CTR, jRCT and CTRI were not searched. Traditional-medicine and non-English evidence in this record is a floor, not a complete accounting.",database coverage,not applicable,Unknown,Unknown (prespecified coverage limitation; X8),ipf_phase2_search.json; ipf_phase2_conflicts_register.csv X8,UN12,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.11,S5 What we do not know,"No adequately powered randomised evidence exists for preventing or treating acute exacerbation of IPF; the two randomised attempts in this record (thrombomodulin alfa, cyclophosphamide plus glucocorticoids) were null and harmful respectively.",acute exacerbation treatment,acute exacerbation (E10),Unknown,Unknown (no positive randomised result; both retrieved randomised attempts were negative),ipf_phase2_landscape.csv,UN6,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M5.12,S5 What we do not know,"Non-pharmacological and supportive-care evidence is largely ILD-wide rather than IPF-exclusive, so what works specifically in IPF is partly unknown.",supportive care,"functional capacity (E5), HRQoL (E6)",Unknown,Unknown for IPF specifically (indirect evidence under scope limit L1),ipf_phase1_standard_of_care.csv; ipf_phase2_landscape.csv,UN12,"An absence of evidence is not evidence of promise. Rows M5.7-M5.10 are facts about the record's completeness, not about any intervention.",IPF_phase1_disease_evidence_baseline.md; Phase 2 registers; corrections_log.csv,,
M6.1,S6 What might be worth studying,"Interventions whose IPF trial stopped for recruitment, funding or operational reasons rather than for a result: azithromycin (recruitment targets not met), losartan (funding withdrawn), cromolyn sodium (recruitment and pandemic), continuous positive airway pressure (enrolment). The question these trials asked was never answered. Cromolyn sodium was removed in Phase 4 (a result exists; see M2.14). For azithromycin the recorded abandonment refers to a terminated combination-therapy trial, while the cough question has a randomised answer (PMID 34015241).",azithromycin; losartan; continuous positive airway pressure,varies,Uncertain,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate","ipf_phase2_landscape.csv (abandoned_reason in recruitment_or_operational, regulatory_or_commercial)","UN3, UN10","These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,"amended in Phase 4 (C15, C22)",
M6.2,S6 What might be worth studying,"Underpowered nulls never retested at adequate size: GLPG1205, etanercept, imatinib, inhaled carbon monoxide, macitentan. Whether these represent absence of effect or absence of power is unresolved.",GLPG1205; etanercept; imatinib; inhaled carbon monoxide; macitentan,varies,Uncertain,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_landscape.csv (verdict_sublabel='null result that size or phase cannot make decisive'),"UN3, UN9","These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,,
M6.3,S6 What might be worth studying,"Whether an N-acetylcysteine benefit exists in a genotype- or telomere-defined subgroup is a pre-existing hypothesis with existing datasets (PANTHER-IPF, PRECISIONS/NCT04300920) that could answer it without a new trial.",n-acetylcysteine subgroup hypothesis,varies,Hypothesis,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_conflicts_register.csv X7; PMID 24836309; PMID 30566847; NCT04300920,UN11,"These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,"held at verification in Phase 4 - the motivating post hoc analysis (PMID 26331942) is closed access and its full text could not be obtained, and the genotype-stratified phase 3 trial (NCT04300920) completed 2026-03-02 with no results posted; carried to Phase 6 as a retrieval action",
M6.4,S6 What might be worth studying,Whether the null co-trimoxazole result masks an adherence-dependent effect could be examined in the existing trial data (per-protocol vs intention-to-treat disagreement in EME-TIPAC; CleanUP-IPF individual data).,co-trimoxazole adherence question,varies,Uncertain,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_conflicts_register.csv X1; PMID 23143842; PMID 33974018,UN11,"These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,downgraded in Phase 4 (C13) to a re-analysis action carried to Phase 6,
M6.5,S6 What might be worth studying,"The sildenafil disagreement is the record's only unresolved within-intervention conflict in randomised IPF-only evidence, and is a candidate for individual-participant re-analysis rather than a new trial. Phase 4 correction: this is no longer the record's unresolved conflict - three randomised trials are null in the overall population and the right-heart-dysfunction subgroup hypothesis showed no treatment-by-subgroup heterogeneity when tested (see M2.13).",sildenafil,varies,Uncertain,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_conflicts_register.csv X4,"UN3, UN11","These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,resolved in Phase 4 (C14),
M6.6,S6 What might be worth studying,"Whether treatment-induced change in FVC decline predicts survival is answerable by trial-level or individual-participant meta-analysis of existing IPF trials, and would change how every positive verdict in this record should be read.",FVC-to-survival surrogacy,varies,Unknown,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_conflicts_register.csv X5,UN8,"These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,,
M6.7,S6 What might be worth studying,"Retrieving the 110 completed IPF trials whose results are not retrievable, 97 of them past the reporting window, is the largest single addition available to this record. It is a retrieval task and carries no implication that the unretrieved results are positive.",110 unreported completed trials,varies,Established,"Established as a fact about the record's completeness, not about any intervention",ipf_phase1_retrievability_register.csv,UN10,"These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,,
M6.8,S6 What might be worth studying,"For traditional-medicine interventions the smallest useful next step is closing the database gap (CNKI, VIP, Wanfang, SinoMed) and obtaining full texts for risk-of-bias assessment, before any question of efficacy is entertained.",traditional-medicine evidence base,varies,Uncertain,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_traditional_medicine_screen.csv; ipf_phase2_conflicts_register.csv X8,UN12,"These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,"Phase 4 verified two of the six traditional-medicine trials against full text (C20, C21); one is closed access. The database gap is unchanged.",
M6.9,S6 What might be worth studying,Whether the short-term functional and quality-of-life gains from rehabilitation persist beyond about six months is unresolved and is a question about an intervention already in standard use.,pulmonary rehabilitation durability,varies,Uncertain,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_landscape.csv; ipf_phase1_standard_of_care.csv,"UN4, UN12","These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,answered in Phase 4 (C12) - a 52-week randomised trial exists; the untested horizon is now beyond 12 months,
M6.10,S6 What might be worth studying,"The magnitude of corticosteroid-associated mortality in IPF, and whether it survives adjustment for confounding by indication, is examinable in existing registry cohorts.",corticosteroid harm magnitude,varies,Uncertain,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_conflicts_register.csv X6; PMID 40277510,UN3,"These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,,
M6.11,S6 What might be worth studying,"Of the small randomised programmes previously listed here as positive signals without adequately sized follow-up, only BMS-986020 has a positive result on a clinical endpoint (FVC), and that programme stopped for drug-related toxicity while a successor molecule in the same pathway is now in phase 3. For GSK3008348, omipalisib, TRK-250, salbutamol, sirolimus, valganciclovir the primary endpoint was safety, pharmacokinetic, deposition or mechanistic, so no clinical signal exists to follow up. For omeprazole the cough interval includes no effect and the same trial shows lung-function decrements favouring placebo. Bexotegrast was removed from this statement in Phase 4: its phase 2b trial was terminated for excess disease progression and deaths (see M2.15).",BMS-986020; GSK3008348; omipalisib; TRK-250; salbutamol; omeprazole; sirolimus; valganciclovir,varies,Uncertain,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase2_landscape.csv (positive randomised signal below phase 3),UN3,"These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,"corrected in Phase 4 (C16, C17, C18), C23",unchanged in Phase 6; the A5 sweep added no positive signal to this row
M6.12,S6 What might be worth studying,"No intervention in this record targets recovery of lost lung function or reversal of established fibrosis, and no trial endpoint measures them. Whether such an endpoint can be defined and measured is a prior question to any therapeutic candidate.",recovery and reversal endpoints,varies,Unknown,"Candidate question carried to Phase 4 screening; tier is that of the underlying evidence, not of the candidate",ipf_phase1_endpoint_taxonomy.csv; ipf_phase1_ceiling.csv,"UN1, UN2","These are candidate questions, not Research Leads. Phase 4 screens them against the lead bar; unretrieved or missing evidence is not itself a signal of promise.",Derived from S1-S5 of this map,,
M2.13,S2 What does not work,"Sildenafil does not improve the primary endpoint in the overall IPF population in three randomised trials, including one adding it to pirfenidone in advanced IPF at risk of group 3 pulmonary hypertension. The right-heart-dysfunction subgroup hypothesis derived from exploratory analyses of an earlier trial showed no treatment-by-subgroup heterogeneity when tested in a prespecified analysis.",sildenafil,E2 disease progression / lung function; E5 symptoms and quality of life,Probable,"three randomised trials plus one prespecified subgroup analysis, consistent null",PMID 32822614; PMID 31365829; PMID 20460437,,,,added in Phase 4 (C14),
M2.14,S2 What does not work,"Inhaled cromolyn sodium did not reduce chronic cough in IPF in a phase 2b dose-ranging trial, superseding an earlier smaller positive phase 2a trial of the same formulation.",cromolyn sodium (RVT-1601),E5 symptoms and quality of life,Probable,one phase 2b randomised trial superseding an earlier positive phase 2a trial,PMID 35050837; PMID 28923239,,,,added in Phase 4 (C15),
M2.15,S2 What does not work,"Bexotegrast is harmful in IPF on the evidence available: an adequately sized randomised phase 2b trial was terminated on DSMB recommendation with more disease-progression events and more deaths on active treatment than on placebo, in both dose arms and in a dose-ordered pattern. In BEACON-IPF (NCT06097260, n=319 randomised), terminated on DSMB recommendation, registry-posted results show more disease-progression events on bexotegrast than placebo: 5 of 106 (placebo), 16 of 105 (160 mg) and 25 of 108 (320 mg); Cox hazard ratios versus placebo 3.31 (95% CI 1.21-9.05, p=0.0194) and 5.36 (95% CI 2.05-13.99, p=0.0006). A >=10% absolute FVC decline was also more frequent (odds ratio 3.33, 95% CI 1.03-10.81, p=0.0449 for 160 mg; 3.01, 95% CI 0.91-9.91, p=0.07 for 320 mg). Deaths: 0 of 106, 6 of 105 and 4 of 108; serious adverse events 6, 17 and 21. The week-52 FVC primary endpoint is uninformative because only 1, 1 and 2 participants reached week 52 after early termination.",bexotegrast (PLN-74809),E2 disease progression / lung function; E7 survival; E4 safety,Probable,"one adequately sized randomised trial, registry-posted results, terminated early; no peer-reviewed publication of these results identified","ClinicalTrials.gov NCT06097260 results section (posted 2026-08-05, retrieved 2026-09-03)",,,,added in Phase 4 (C23),
M2.16,S2 What does not work,"Inhaled GB0139 does not slow lung-function decline in IPF. In GALACTIC-1 (NCT03832946, n=172, quadruple-masked, 52 weeks) the annual rate of FVC decline was -316.60 mL/year (95% CI -394.86 to -238.35) on GB0139 3 mg versus -127.41 mL/year (95% CI -221.12 to -33.71) on placebo, with more respiratory hospitalisations (17 of 102 versus 5 of 70) and worse SGRQ change. No between-arm test is posted and the trial is unpublished, so the apparent harm direction is recorded but not graded as harm.","GB0139 (TD139), inhaled galectin-3 inhibitor",E2 disease progression / lung function,Probable,"one adequately sized randomised trial, registry-posted only",NCT03832946; 33214209,slowing progression,"Registry posting is the only source; no publication, no statistical comparison, and high attrition in both arms. Conflicts register X12.",Phase 6 action A5 registry-results sweep,,added in Phase 6 (C24)
M2.17,S2 What does not work,"HZN-825 does not slow lung-function decline in IPF. In NCT05032066 (n=153, triple-masked, 52 weeks) the change in FVC % predicted differed from placebo by -1.13 (95% CI -3.56 to 1.29, p=0.4388) at 300 mg once daily and -0.39 (95% CI -2.86 to 2.09, p=0.7959) at 300 mg twice daily; the sponsor terminated the trial for not meeting primary or key secondary endpoints.","HZN-825 (fipaxalparant), oral LPA1 antagonist",E2 disease progression / lung function,Probable,"one adequately sized randomised trial, registry-posted only",NCT05032066,slowing progression,"Unpublished. Secondary endpoints are internally discordant (worse composite progression on the twice-daily arm, fewer >=10% FVC decliners) - conflicts register X11.",Phase 6 action A5 registry-results sweep,,added in Phase 6 (C25)
M2.18,S2 What does not work,"Two further neurokinin- and P2X3-directed antitussives do not reduce IPF cough on their trials' primary endpoints. Orvepitant (NCT05185089, n=80 crossover) differed from placebo by 0.00 (95% CI -0.62 to 0.63, p=0.989) at 10 mg and -0.58 (95% CI -1.16 to 0.01, p=0.054) at 30 mg on daily cough severity. Gefapixant (NCT02502097, published PMID 34152585) showed no significant reduction in awake objective cough frequency at day 14 (p=0.90).",orvepitant; gefapixant,E9 cough / symptom burden,Probable,"two randomised crossover trials, one published and one registry-posted only",NCT05185089; NCT02502097; 34152585,cough and symptom burden,"Both trials are short (2-6 weeks) and small; gefapixant's efficacy analysis excluded 7 of 51 randomised patients after a protocol amendment. This adds to the existing negative cough evidence (cromolyn, thalidomide-era work) rather than opening a new question.",Phase 6 action A5 registry-results sweep,,added in Phase 6 (C26)
M3.15,S3 What is uncertain,"Whether combined autoantibody reduction (therapeutic plasma exchange plus rituximab plus intravenous immunoglobulin) improves survival after an acute exacerbation of IPF is uncertain and untested by any analysable source. STRIVE-IPF (NCT03286556) posts six-month survival of 44% (SE 9, n=33) versus 7% (SE 6, n=18) on treatment as usual, but the trial is open-label, the arms are unequal from 82 enrolled, no baseline lung function or oxygen requirement is posted, no statistical analysis is posted, and no results publication exists. In stable IPF, blinded rituximab monotherapy was null with numerically more hospitalisations.",autoantibody reduction for acute exacerbations of IPF,E1 survival,Uncertain,"one open-label randomised trial, registry-posted only, plus uncontrolled pilot data",NCT03286556; NCT01266317; NCT01969409; 38509495; 26083430; 34813613,acute exacerbation survival,"A survival difference of this size in an unblinded trial with unposted baseline severity cannot be separated from case selection. Conflicts register X9. The smallest next step is retrieval of the trial's analysis and publication, not a new trial.",Phase 6 action A5 registry-results sweep,,added in Phase 6 (C27); held at verification
M3.16,S3 What is uncertain,"Five investigational programmes now have IPF randomised data that show no signal of benefit but are too small or too truncated to be decisive: LTP001 (n=46, terminated by sponsor decision, FVC % predicted -3.1 versus -1.1), ianalumab (n=30, terminated, FVC difference 0.063 L, p=0.3248), tanzisertib/CC-90001 (n=112 dosed, terminated on a strategic decision, ppFVC differences 1.1 and 2.2 with confidence intervals spanning zero, PMID 38484130), tipelukast (n=15) and belumosudil (open-label, no comparison posted). These are recorded as uncertain, not as failures.",small randomised programmes stopped before they could answer their question,E2 disease progression / lung function,Uncertain,randomised but underpowered or truncated trials,NCT05497284; NCT03287414; NCT03142191; 38484130; NCT02503657; NCT02688647,slowing progression,"Sponsor termination for business reasons is not evidence of inefficacy; equally, an unpowered null is not evidence of efficacy. None of these programmes reaches the threshold for a research lead under the Phase 4 screens.",Phase 6 action A5 registry-results sweep,,added in Phase 6 (C28)
M3.17,S3 What is uncertain,"A single-centre randomised posting claims a 73.2% reduction in daily coughing episodes versus 16.1% on saline placebo over 21 days in 50 IPF patients (difference -57.13, 95% CI -63.99 to -50.27, p=0.0001), together with a 27.9% rise in the FEV1/FVC ratio and zero adverse events in both arms. There is no publication, no described cough-measurement method and no outcomes-assessor masking, and the accompanying values are not consistent with the known behaviour of IPF over three weeks. The claim is recorded as unverified.",sodium pyruvate nasal spray (N115),E9 cough / symptom burden,Uncertain,"registry-only, unverifiable against any publication",NCT06037408,cough and symptom burden,Recorded because the record must not discard a positive result on the basis of its source; not treated as evidence of benefit because nothing in it can be checked. Conflicts register X10.,Phase 6 action A5 registry-results sweep,,added in Phase 6 (C29); held at verification
M5.13,S5 What we do not know,"A distinct class of IPF evidence exists that is neither published nor absent: trial results posted to a registry without a between-arm analysis, without a publication, or both. In this record it covers at least nine entities, including two adequately sized phase 2 trials (GALACTIC-1, n=172; HZN-825, n=153) and the only randomised survival result in acute exacerbations (STRIVE-IPF). Registry postings are primary source material and were graded as such, but where the sponsor posts no analysis and publishes no report, the evidence can be described and not weighed.",results that exist but cannot be graded,record completeness,Uncertain,"fact about the record, not about an intervention",ipf_phase6_registry_results_sweep.csv; ipf_phase2_landscape.csv; corrections_log.csv C24-C34,not applicable,"Rows M5.7-M5.13 are facts about the record's completeness, not about any intervention. The remedy is retrieval, not new trials.",Phase 6 action A5 registry-results sweep,,added in Phase 6 (C30)
M5.14,S5 What we do not know,"The largest single block of randomised IPF evidence that this record has not examined is Chinese-language. English-indexed systematic reviews that searched CNKI, Wanfang, VIP and CBM pool 63 randomised trials of Chinese medicine injections, 23 trials in 1390 patients of qi-supplementing and blood-activating herbs, 20 trials in 1363 patients across four injection products, 11 trials in 981 patients of external TCM treatment, and a herbal-versus-N-acetylcysteine comparison in 733 patients. No injection product and no head-to-head herbal comparison appears in the 279-intervention landscape.",Chinese-language randomised evidence not examined by this record,record completeness,Uncertain,"fact about the record, not about an intervention","ipf_phase6_chinese_language_coverage.csv; PMID 35881610, 36451506, 35245333, 41088620, 31312224, 37235494; corrections_log.csv C35",not applicable,"These counts come from secondary sources; the underlying trials were not read and their reviews' own quality statements are cautionary. The counts describe how much evidence exists, not whether any of it shows benefit. No verdict is assigned to any of this evidence.",Phase 6 action A4 (Chinese-language coverage check),,added in Phase 6 (C35)
M5.15,S5 What we do not know,"Non-reporting of completed IPF trials is genuine rather than a search artefact. Of 110 completed trials with no retrievable results, a targeted registry-identifier search of PubMed found any indexed publication for only 7, and none of those reported the trial's missing primary clinical outcome: they were design papers, pre-completion reports, or safety, pharmacokinetic and preclinical papers.",unreported completed trials,record completeness,Uncertain,"fact about the record, not about an intervention",ipf_phase6_missing_results_retrieval.csv; ipf_phase3_retrieval_check.json; corrections_log.csv C38,not applicable,"The search covered PubMed only; results could exist in conference abstracts, theses, regulatory dossiers or non-indexed journals. Two entities were added to the landscape as a result, both phase 1 safety and pharmacokinetics only.",Phase 6 action A3 (missing-results retrieval),,added in Phase 6 (C38)
M3.18,S3 What is uncertain,"The magnitude of corticosteroid harm in IPF is not established, and the direction depends on the setting. The best available synthesis (10 observational studies, 1639 patients with fibrotic ILD) found an uncertain effect on mortality (RR 1.03, 95% CI 0.85-1.25) and, in IPF specifically, an uncertain effect on FVC decline (mean difference -3.80% predicted, 95% CI -8.94 to 1.34), both graded very low certainty. In acute exacerbation, one propensity-weighted cohort (n=82, 37 treated) found no association with in-hospital mortality (adjusted HR 1.31) alongside worse overall survival (HR 6.17); a second cohort (n=238) found pulse dosing no better than non-pulse; a third (n=153 and n=229) found early dose tapering associated with better survival (IPW-adjusted HR 0.37, 95% CI 0.14-0.99 and 0.27, 95% CI 0.094-0.83).","systemic corticosteroids (monotherapy, excluding the PANTHER triple-therapy regimen)",survival; lung function,Uncertain,"observational evidence only, graded very low certainty by its own authors; confounding by indication is not resolved","PMID 38160015, 31846126, 38087838, 36289512; corrections_log.csv C31 (unchanged verdicts)",not applicable,"None of these studies can separate a corticosteroid effect from the severity that prompted the prescription. The record's separate finding of harm from prednisone plus azathioprine plus N-acetylcysteine (PANTHER-IPF) is randomised evidence about a three-drug regimen and does not transfer to corticosteroid monotherapy. The tapering result is about how long steroids are continued, not whether they help.",Phase 6 action A7 (corticosteroid harm magnitude),,added in Phase 6 (action A7)
M5.16,S5 What we do not know,"FVC is a validated prognostic marker in IPF but has not been validated as a treatment-effect surrogate. Patient-level evidence is strong: in pooled nintedanib trial data (n=2583) a faster rate of FVC decline and a lower current FVC each predicted death over 52 weeks (HR 1.79, 95% CI 1.57-2.03 and HR 1.24, 95% CI 1.17-1.32 per 5-percentage-point decrease), and in a prospective registry, adjusted declines of at least 2%, 5% and 10% predicted were associated with 1.8-, 2.3- and 2.7-fold increases in the risk of death or transplantation. What no published analysis establishes is the trial-level question: whether a drug's effect on FVC predicts its effect on survival.",FVC as a surrogate endpoint,surrogacy of the record's primary outcome measure,Uncertain,"fact about the record's outcome measure, not about an intervention","PMID 37646126, 40020995; ipf_phase4_actions.csv A8",not applicable,"Patient-level prognostic association is not surrogacy. Every 'slows progression' verdict in this record rests on FVC, so this gap propagates to those verdicts: it does not make them wrong, but it means the survival consequence of the observed FVC benefit is inferred rather than measured. Individual IPF trials are underpowered for mortality, so the trial-level analysis is unlikely to be informative without pooled individual participant data.",Phase 6 action A8 (FVC-to-survival surrogacy),,added in Phase 6 (action A8)
