intervention,verdict_class,failure_domain,abandoned_reason,evidence_tier,evidence_tier_sublabel,max_phase,registry_trials,trials_with_posted_results,statuses,key_result_pmid,key_result_verbatim,metric,duration_weeks,endpoint_dimension,termination_reasons,conflict_note,why,curated,curation_note
tanzisertib (CC-90001),"Programme stopped, result not established",development stopped before a result was established,regulatory_or_commercial,Unknown,registry-only,PHASE2,1.0,1.0,TERMINATED,,,,,,Business objectives have changed.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
tanzisertib (CC-930),"Programme stopped, result not established",development stopped before a result was established,safety_toxicity,Unknown,registry-only,PHASE2,1.0,0.0,TERMINATED,,,,,,The benefit/ risk profile does not support continuation of this study.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
telenursing,"Programme stopped, result not established",development stopped before a result was established,unknown,Unknown,registry-only,NA/none,1.0,1.0,TERMINATED,,,,,,Principal Investigator left the institution and the study was closed with the IRB,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
telenursing and remote monitoring,"Programme stopped, result not established",development stopped before a result was established,unknown,Unknown,registry-only,NA/none,1.0,1.0,TERMINATED,,,,,,Principal Investigator left the institution and the study was closed with the IRB,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
therapeutic plasma exchange,"Programme stopped, result not established",development stopped before a result was established,safety_toxicity,Unknown,attribution not separable,PHASE2,2.0,0.0,NOT_YET_RECRUITING|TERMINATED,26083430.0,"Nine (9) trial subjects (82%) had improvements of pulmonary gas exchange after treatment, compared to one (5%) historical control.",improvement in pulmonary gas exchange after treatment,96.0,improvement in pulmonary gas exchange after treatment,"Owing to the Covid-19 epidemics, suspension of inclusions on Monday 16 march 2020 for an undetermined period of time Terminated prematurely due to an excessive number of deaths",,"1 human studies attributed; strongest case_series; IPF-only monotherapy randomised: 0 positive, 0 null, 0 harm.",False,
tralokinumab,"Programme stopped, result not established",development stopped before a result was established,lack_of_efficacy,Uncertain,underpowered null,PHASE2,2.0,4.0,COMPLETED|TERMINATED,28787186.0,"Neither tralokinumab 400 mg nor tralokinumab 800 mg met the primary endpoint; least-squares mean difference (95% confidence interval) percent predicted FVC from baseline to Week 52: -1.77 (-4.13 to 0.59) (P = 0.140) and -1.41 (-3.73 to 0.91) (P = 0.234), respectively.",change from baseline to Week 52 in percent predicted FVC,52.0,change from baseline to Week 52 in percent predicted FVC,Early termination of the study due to lack of efficacy.,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,
vismodegib,"Programme stopped, result not established",development stopped before a result was established,not_applicable,Unknown,registry-only,PHASE2,2.0,0.0,COMPLETED|WITHDRAWN,,,,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
vixarelimab,"Programme stopped, result not established",development stopped before a result was established,safety_toxicity,Unknown,registry-only,PHASE2,1.0,0.0,TERMINATED,,,,,,Sponsor decided to discontinue the study after review of clinical data by the iDMC. This decision was based on unblinded evaluation of clinical efficacy which showed a trend towards futility \& was not related to any safety concerns of vixarelimab.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
voxelotor,"Programme stopped, result not established",development stopped before a result was established,unknown,Unknown,registry-only,PHASE2,2.0,2.0,COMPLETED|TERMINATED,,,,,,The study was terminated due to lack of clinically meaningful benefit,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,
ziritaxestat,Failed,no benefit on the trial's own primary endpoint,lack_of_efficacy,Established,registry-only,PHASE3,3.0,3.0,COMPLETED|TERMINATED,37159034.0,Ziritaxestat did not improve the annual rate of FVC decline vs placebo in either study.,annual rate of FVC decline at week 52,52.0,rate of FVC decline (E1),The benefit-risk profile no longer supports continuing the study,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"Reclassified in C11: previously recorded only as 'development stopped', which mis-stated the case. The ISABELA 1/2 phase 3 programme reported a null primary endpoint before discontinuation, so this is adequately-tested-and-negative rather than stopped-without-a-result."
ART-123,Failed,no benefit on the trial's own primary endpoint,lack_of_efficacy,Probable,"Probable (one randomised placebo-controlled trial, small, stopped for futility)",PHASE3,1.0,0.0,COMPLETED,31917621.0,"The survival proportions on Day 90 were 72.5% (29 of 40) in the thrombomodulin alfa group and 89.2% (33 of 37) in the placebo group, a difference of -16.7 percentage points (95% confidence interval, -33.8 to 0.4%;",survival proportion at day 90 after acute exacerbation,13.0,survival after acute exacerbation (E10/E11),,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,Reclassified from 'Poorly studied' in the Phase 3 retrieval-artefact check (corrections entry C11): the Phase 2 per-entity search had missed the primary report. Graded from the retrieved abstract; full text not read.
co-trimoxazole or doxycycline,Failed,no benefit on the trial's own primary endpoint,lack_of_efficacy,Established,"Established (one pragmatic randomised trial, primary endpoint null)",PHASE3,1.0,1.0,TERMINATED,33974018.0,"Among adults with idiopathic pulmonary fibrosis, the addition of co-trimoxazole or doxycycline to usual care, compared with usual care alone, did not significantly improve time to nonelective respiratory hospitalization or death.",time to non-elective respiratory hospitalisation or death,,hospitalisation or death (composite; E10/E11),Terminated for futility after review of first planned interim analysis.,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,"Duplicate registry label resolved in the Phase 3 retrieval check (C11): this is the CleanUP-IPF strategy arm, the same evidence as the 'co-trimoxazole' and 'doxycycline' rows. Kept so the registry label resolves, cross-referenced rather than counted as independent evidence."
BMS-986020,Uncertain,harm exceeded benefit,safety_or_toxicity,Uncertain,early-phase or single randomised source,PHASE2,,,,30201408.0,The study was terminated early because of three cases of cholecystitis that were determined to be related to BMS-986020,rate of change in FVC from baseline to week 26,,rate of change in FVC from baseline to week 26,,,"PHASE4 ADDITION (C18): the programme stopped for drug-related hepatobiliary toxicity while the primary lung-function endpoint favoured the drug. Recorded here because the stopping reason was harm, not absence of effect.",True,
GB0139,Failed,"worse than placebo on the primary lung-function endpoint, with more respiratory hospitalisations and worse quality of life; no between-arm test posted",not_applicable,Probable,"one adequately sized randomised trial, registry-posted only",PHASE2,1.0,1.0,COMPLETED,,"GALACTIC-1 (NCT03832946, n=172 randomised, 128 sites, quadruple-masked) primary endpoint annual rate of FVC decline at 52 weeks: GB0139 3 mg once daily -316.60 mL/year (95% CI -394.86 to -238.35, n=100) versus placebo -127.41 mL/year (95% CI -221.12 to -33.71, n=68); no between-arm analysis posted. Respiratory-related hospitalisations 17 of 102 versus 5 of 70; SGRQ total change +4.201 versus -4.77; deaths 8 of 102 versus 5 of 70; serious adverse events 24 of 102 versus 11 of 70; study completion 55 of 102 versus 38 of 70.",annual rate of FVC decline (mL/year),52.0,E2 disease progression / lung function,,,"Phase 6 A5: identified by registry-results sweep; adequately sized (n=172) quadruple-masked phase 2b, GALACTIC-1, unpublished",True,PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. Also merges the separate 'inhaled TD139' row (TD139 = GB0139). Earlier phase 1/2a target-engagement trial published (PMID 33214209).
HZN-825,Failed,no benefit on the trial's primary lung-function endpoint at either dose; sponsor terminated for not meeting primary or key secondary endpoints,lack_of_efficacy,Probable,"one adequately sized randomised trial, registry-posted only",PHASE2,1.0,1.0,TERMINATED,,"NCT05032066 (Amgen, n=153, triple-masked, 82 sites, terminated) primary endpoint change in FVC % predicted to week 52: -4.13 (300 mg QD), -3.38 (300 mg BID), -2.99 (placebo); LS mean difference versus placebo -1.13 (95% CI -3.56 to 1.29, p=0.4388) for QD and -0.39 (95% CI -2.86 to 2.09, p=0.7959) for BID. Secondary composite progression-free survival hazard ratio BID versus placebo 2.52 (95% CI 1.22 to 5.61, p=0.0438); secondary >=10% FVC decline odds ratio BID versus placebo 0.469 (95% CI 0.236 to 0.934, p=0.0706).","change in FVC % predicted, baseline to week 52",52.0,E2 disease progression / lung function,The trial was terminated due to not meeting primary or key secondary endpoints.,,"Phase 6 A5: identified by registry-results sweep; n=153 triple-masked phase 2, unpublished",True,"PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'; abandoned_reason corrected from 'unknown' to lack of efficacy on the sponsor's own stated grounds. Note the internally discordant secondary endpoints (worse composite progression, fewer >=10% FVC decliners) - logged in the conflicts register."
orvepitant,Failed,no benefit on the trial's primary cough-severity endpoint at either dose,not_applicable,Probable,"one randomised crossover trial, registry-posted only",PHASE2,1.0,1.0,COMPLETED,,"NCT05185089 (n=80) primary endpoint mean change from baseline in weekly average daily IPF cough severity: mean difference 0.00 (95% CI -0.62 to 0.63, p=0.989, ANCOVA) for orvepitant 10 mg versus placebo and -0.58 (95% CI -1.16 to 0.01, p=0.054) for orvepitant 30 mg versus placebo.",change in daily IPF cough severity score,,E9 cough / symptom burden,,,"Phase 6 A5: identified by registry-results sweep; n=80 randomised crossover, unpublished",True,PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. The 30 mg comparison is directionally favourable but does not reach the conventional threshold; the trial is null on its primary endpoint as posted.
gefapixant,Failed,no benefit on the trial's primary objective cough-frequency endpoint,not_applicable,Probable,"one randomised crossover trial, published",PHASE2,2.0,2.0,COMPLETED,34152585.0,The change from baseline in awake cough frequency from periods 1 and 2 combined (mixed model for repeated measures analysis) did not demonstrate a significant reduction versus placebo in cough at day 14 (p = 0.90); in a post hoc analysis of log-transformed data p value for reduction versus placebo at day 14 was 0.07.,change from baseline in awake objective cough frequency (coughs/hour),2.0,E9 cough / symptom burden,,,"Phase 6 A5: identified by registry-results sweep and then traced to its publication (PMID 34152585); n=44 in the efficacy analysis, 14 days",True,"PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. Published in Pulm Ther 2021 (PMID 34152585) - a Phase 2 literature-search miss. 51 randomised, 44 in the primary efficacy analysis after a protocol amendment excluded 7; registry MMRM difference -2.5 coughs/hour (95% CI -10.1 to 5.1, p=0.5096)."
LTP001,Uncertain,"numerically worse than placebo on the primary lung-function endpoint with a credible interval spanning no difference; underpowered, terminated by sponsor decision at n=46",regulatory_or_commercial,Uncertain,"small randomised trial terminated early, registry-posted only",PHASE2,1.0,1.0,TERMINATED,,"NCT05497284 (Novartis, n=46 randomised, quadruple-masked, 15 sites, terminated - Sponsor Decision) primary endpoint change in FVC % predicted to end of treatment (~26 weeks): LTP001 6 mg -3.1 (n=17) versus placebo -1.1 (n=22); Bayesian random slope model slope -2.6 (95% credible interval -6.9 to 1.3). Secondary FVC change -120.0 mL versus -45.5 mL.","change in FVC % predicted, baseline to ~26 weeks",26.0,E2 disease progression / lung function,Sponsor Decision,,"Phase 6 A5: randomised data exist but cannot exclude a moderate effect - recorded as a null without a signal of benefit, not as a demonstrated failure",True,"PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. Randomised data exist and show no signal of benefit, but the trial was stopped by sponsor decision at n=46 and cannot exclude a moderate effect."
ianalumab (VAY736),Uncertain,"no difference on the primary lung-function endpoint; underpowered, terminated by sponsor decision at n=30",regulatory_or_commercial,Uncertain,"small randomised trial terminated early, registry-posted only",PHASE2,1.0,1.0,TERMINATED,,"NCT03287414 (Novartis, n=30, terminated - Sponsor decision) primary endpoint change in FVC to end of the 48-week treatment epoch: VAY736 +0.039 L versus placebo -0.023 L; LS mean difference 0.063 L (95% CI -0.115 to 0.241, p=0.3248, MMRM).","change in FVC (L), baseline to 48 weeks",48.0,E2 disease progression / lung function,Sponsor decision,,Phase 6 A5: randomised data exist but cannot exclude a moderate effect,True,PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'.
tipelukast,Uncertain,"numerically worse than the comparator arm on the primary lung-function endpoints; n=15, no between-arm analysis posted",not_applicable,Uncertain,"very small randomised trial, registry-posted only",PHASE2,1.0,1.0,COMPLETED,,"NCT02503657 (MediciNova, n=15) primary endpoints to week 26: absolute change in FVC -0.177 L (arm labelled MN-001/MN-001) versus -0.025 L (arm labelled Placebo/MN-001); percent change in FVC -7.22% versus -0.33%. No between-arm analysis posted.",absolute and percent change in FVC to week 26,26.0,E2 disease progression / lung function,,,Phase 6 A5: randomised data exist but are too small to support any verdict on efficacy,True,PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-specific human outcome evidence'. n=15 with a delayed-start style arm structure; the posted values are numerically worse on active drug but the trial cannot support any verdict on efficacy.
rituximab,Uncertain,"mechanistic primary endpoint met (lower autoantibody titre) with no benefit on FVC, survival or transplant-free survival, and numerically more hospitalisations and serious adverse events",not_applicable,Uncertain,"one randomised trial with a mechanistic primary endpoint, registry-posted only",PHASE2|3,4.0,1.0,COMPLETED|NOT_YET_RECRUITING|RECRUITING,32777737.0,"NCT01969409 (7 sites, randomised, parallel, triple-masked, n=58) primary endpoint autoantibodies to HEp-2 cells at 9 months: placebo 288 (SE 63, n=25) versus rituximab 177 (SE 29, n=26). Secondary clinical endpoints: FVC 2.6 L (SE 0.14) versus 2.5 L (SE 0.16); absolute survival 93% (SE 5) versus 93% (SE 5); transplant-free survival 89% (SE 6) versus 90% (SE 6); hospital admissions 6 versus 12; acute exacerbations 1 versus 2; serious adverse events 5 of 28 versus 9 of 30; deaths 2 of 28 versus 2 of 30. No between-arm analysis posted for any endpoint.","autoantibody titre (primary); FVC, survival, transplant-free survival, hospitalisations (secondary)",39.0,E10 mechanistic / biomarker (primary); E2 and E1 (secondary),,,"Phase 6 A5: the only IPF-specific blinded randomised monotherapy trial (NCT01969409, n=58) is registry-posted only",True,"PHASE6 A5 (registry-results sweep): corrected from 'Poorly studied - no IPF-only monotherapy human evidence; appears only in combination or pooled sources'. IPF-specific blinded randomised monotherapy data do exist, registry-posted only. The trial met its mechanistic primary endpoint (lower autoantibody titre) and showed no clinical benefit, with a numerically unfavourable hospitalisation and serious-adverse-event count. Indirect connective-tissue-disease and NSIP rituximab trials (PMID 32777737, 36375479, 37230499) remain labelled indirect."
voxelotor,Poorly studied,sponsor stopped the IPF trial for lack of clinically meaningful benefit; no primary outcome data posted,lack_of_efficacy,Unknown,registry-only,PHASE2,2.0,2.0,COMPLETED|TERMINATED,,,,,,Study was terminated due to lack of clinically meaningful benefit.,,"Phase 6 A5: stated stopping reason is efficacy, but no result is retrievable - the underlying data remain missing",True,"PHASE6 A5 (registry-results sweep): no primary outcome data are posted; the sponsor's stated reason for stopping NCT02989168 is lack of clinically meaningful benefit, and NCT02846324 (n=39) carries a safety primary endpoint. abandoned_reason corrected from unknown to lack of efficacy on the sponsor's own stated grounds."
